Domestic by Dep. Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Noro,144,74,888,1422,1999,2000,1998,1997,279,392,412,416,47,162,362,362,92,124,143,145,204.2,15507,15804,698485,1989289,2896566,4851,21436,27549
Honiara,94,52,546,853,1998,1997,1997,1997,265,903,379,380,110,148,307,318,34,168,136,100,144.3,10951,11161,521848,1462592,2021684,5552,21958,28341
Viru Harbour,47,35,234,382,1999,1999,1997,1997,229,328,381,386,48,144,452,456,16,63,85,86,48.3,3672,3742,182249,523267,769795,3878,17536,22726
Tulagi,26,19,130,214,1997,1997,1995,1995,331,366,369,370,122,139,164,163,84,126,181,184,30.5,2312,2357,93883,274739,401717,3611,16598,21612
Rannell Island,26,22,197,339,2000,2000,2000,2000,336,443,365,361,41,195,157,152,8,70,35,33,33.7,2581,2631,127675,357194,506866,4911,21686,27939
Kirakira,24,21,146,239,1996,1996,1995,1995,355,390,372,373,42,129,173,175,36,75,63,63,22.7,1733,1767,100381,292037,431268,4183,19448,25242
Choiseul Bay,21,19,134,220,1995,1995,1995,1995,344,428,461,465,118,179,379,386,16,70,63,63,23.5,1788,1823,99320,271427,414472,4730,21384,27821
Aola Bay,15,15,59,94,2003,2003,2002,2002,329,449,356,352,195,301,264,261,14,137,105,106,26.6,2010,2048,64988,179622,233589,4333,16090,20882
Yandina,10,8,33,51,1994,1994,1997,1998,220,405,311,329,44,170,347,371,16,74,74,72,10.5,791,806,28731,77907,117990,2873,11775,15410
Gizo,8,7,39,17,1997,1997,1995,1994,197,208,213,165,26,40,29,49,10,28,18,38,9.9,758,773,23376,113544,155001,2922,13947,17309
Nemba,7,7,66,102,1999,1999,1998,1998,565,516,516,511,50,156,198,182,6,23,16,17,8.0,616,628,41938,116424,180946,5991,28226,36583
Lever Harbour,3,3,7,11,1993,1993,1996,1996,209,239,198,194,19,700,116,49,114,189,104,96,5.3,396,404,5605,14921,22130,1868,7902,10142
Ringgi Cove,2,2,5,8,1989,1989,1994,1995,260,260,267,268,74,74,103,109,34,34,53,56,1.6,118,120,11705,19184,24142,5853,13927,17570
