Domestic by Arr. Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Noro,134,71,827,1327,1998,1999,1997,1997,346,773,428,426,130,172,361,364,8,98,73,46,169.2,12860,13107,717693,1987417,2933541,5356,22724,29569
Honiara,97,54,468,694,2000,1999,1999,1999,237,362,308,316,27,192,252,260,105,120,117,125,139.5,10581,10784,397584,1227598,1640435,4099,17223,21794
Viru Harbour,46,34,249,407,1999,1998,1996,1996,198,371,409,414,26,155,374,376,83,119,135,135,52.2,3964,4040,179400,509479,772166,3900,18040,23430
Tulagi,27,19,118,193,1998,1997,1996,1996,279,310,333,333,118,122,180,182,85,89,104,105,36.3,2743,2796,90404,301593,384739,3348,14940,19561
Kirakira,23,21,142,232,1996,1996,1995,1995,269,352,377,377,114,156,278,277,150,192,195,196,28.9,2196,2238,95661,268092,412390,4159,19544,25338
Choiseul Bay,23,20,151,247,1996,1997,1996,1996,432,461,444,445,97,200,353,355,91,126,132,132,31.4,2380,2426,116846,318308,485864,5080,22487,29239
Rannell Island,21,20,168,278,1999,1999,1998,1998,367,541,447,441,37,177,294,292,173,247,231,233,37.3,2837,2892,118211,329775,496494,5629,25645,33330
Aola Bay,17,17,99,159,2000,2000,1999,2000,400,482,575,589,44,220,496,509,73,74,79,81,23.9,1812,1846,83682,222820,329455,4922,20833,27167
Gizo,11,9,116,185,1999,2000,2000,2000,314,308,304,317,31,65,106,121,6,34,15,15,18.1,1401,1428,60359,183539,216540,5487,23154,27336
Yandina,10,8,27,42,1995,1996,1996,1997,259,310,256,270,44,73,125,132,16,31,45,47,5.9,448,457,27513,77815,118192,2751,11584,15292
Nemba,8,8,72,110,1998,1998,1999,1999,606,614,633,634,145,173,234,237,236,188,244,250,13.8,1050,1070,75476,161745,231014,9435,32202,41304
Lever Harbour,6,6,37,59,1999,1999,2000,2000,304,350,354,354,114,166,215,215,63,72,89,90,6.0,453,462,23891,68627,105914,3982,19317,25219
Ringgi Cove,4,4,11,18,1994,1994,1996,1996,192,243,292,293,242,211,302,304,86,112,209,210,6.7,508,518,13463,35337,49422,3366,13445,17644
