Domestic by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Container,5502,292,21464,26205,2004,2006,2005,2005,163,268,215,215,13,40,58,64,9,14,19,19,4629.8,355777,362608,25676552,87313822,98342467,4667,16818,20005
Oil tanker,1939,256,40379,69266,1999,2001,1999,1999,421,2095,898,899,45,332,1154,1162,44,89,266,276,8463.5,649066,661528,70794125,99633786,112109602,36511,104257,130245
General cargo,1489,269,3221,4631,2004,2005,2003,2003,192,639,402,411,18,153,598,637,21,71,112,118,884.0,67337,68630,6758930,20118928,28273397,4539,17988,23675
Bulk carrier,1429,428,16992,30066,2001,2009,2006,2006,216,388,451,448,21,51,221,218,43,92,83,84,1782.9,137679,140322,8963712,23148539,29678774,6273,25338,31337
Chemical tanker,1216,349,11589,18658,2004,2006,1999,1998,285,719,1091,1104,24,93,964,976,28,46,166,165,3829.4,291963,297569,20233365,63817592,77879824,16639,59133,72837
Ferry-RoPax,351,5,1722,308,1992,2001,2000,1997,196,393,588,427,7,48,219,156,13,78,66,60,618.5,46713,47610,1910590,4724737,5797283,5443,11619,10583
Service - other,141,21,813,1128,1997,1996,1997,1998,353,1313,824,917,62,187,706,704,66,207,165,162,201.7,15296,15590,7872371,16152377,17405165,55832,124237,140281
Liquefied gas tanker,111,68,2101,1730,2006,2006,2008,2008,293,540,989,765,18,41,436,360,23,32,26,27,313.6,21314,21724,567588,3151086,2805639,5113,38588,57155
Service - tug,37,11,34,30,2008,2001,2002,1997,334,2028,1115,1186,67,812,1907,2269,90,627,319,217,73.7,5532,5638,761417,1800523,2410803,20579,53138,71746
Miscellaneous - fishing,23,7,76,55,1992,1994,1991,1993,767,2947,2804,3363,115,475,1110,1166,92,152,160,137,43.5,3265,3327,387556,859673,977362,16850,39656,47010
Cruise,15,12,445,54,2000,2000,1998,1998,246,487,464,485,16,20,21,21,9,29,66,72,101.4,7854,8005,214356,1125251,1322404,14290,64751,69305
Other liquids tankers,8,1,27,27,2002,2002,2002,2002,578,578,1782,1782,14,14,176,176,121,121,1394,1394,50.1,3879,3954,13647,38967,84014,1706,5910,9550
Ro-Ro,3,3,22,10,1998,1998,2000,1999,263,461,634,426,28,34,60,54,63,50,85,80,6.0,468,476,10265,18914,22053,3422,8042,8537
Vehicle,2,2,26,9,2011,2011,2008,2008,209,209,193,210,16,16,20,21,13,13,12,11,1.6,124,126,8831,38936,45092,4416,16784,18063
Refrigerated bulk,2,1,47,48,1994,1994,1994,1994,9017,9017,9017,9017,1035,1035,2035,2035,78,78,76,76,37.8,2869,2925,141073,308252,347217,70537,150313,162293
