Int. Dep. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Container,9348,1073,379570,426156,2006,2008,2009,2009,494,906,1090,1079,45,78,220,216,13,24,40,40,50311.7,3888035,3962685,287336749,845313436,960745735,30738,103025,121186
General cargo,2566,798,24053,34029,2006,2005,2005,2005,742,1515,1283,1270,87,213,426,417,26,83,83,81,4541.9,347971,354652,30270191,94663774,134705668,11797,52164,69326
Chemical tanker,2523,835,37122,59677,2007,2007,2008,2008,939,1650,1513,1516,92,178,318,318,23,50,86,87,8537.2,656349,668951,40565967,148389418,177815011,16078,66998,82043
Bulk carrier,2521,1287,208448,380472,2007,2009,2010,2010,1506,2191,2328,2356,143,227,346,346,55,103,118,118,14704.7,1138050,1159901,96549738,237279014,286256947,38298,143213,173302
Liquefied gas tanker,954,359,117587,95476,2007,2008,2009,2008,1585,2531,3419,3327,126,214,372,380,26,66,119,116,13875.8,901684,918997,26948215,170205185,146696301,28248,229604,347393
Oil tanker,917,540,107819,198267,2005,2006,2008,2008,1630,2321,2319,2336,150,288,377,373,37,101,80,78,9358.7,722784,736661,87339654,151312681,168604119,95245,254417,316873
Vehicle,290,169,18855,6113,2008,2008,2009,2009,1078,1324,1290,1289,83,98,114,115,12,24,22,22,1184.9,91725,93486,6190585,27293841,31609049,21347,81139,87324
Ferry-RoPax,249,4,959,202,2004,2004,1995,1994,153,213,248,254,12,20,16,16,5,81,35,36,245.5,18702,19061,1252487,3097302,3800409,5030,10737,9779
Cruise,173,30,10439,1187,1999,2000,2000,1999,505,785,770,815,38,55,132,144,10,17,27,30,2012.1,155856,158849,3382141,22222170,27247916,19550,110719,124812
Ro-Ro,129,5,1525,513,2003,2000,2008,2006,366,709,621,593,40,52,61,65,4,144,17,24,261.5,20254,20643,551234,1015752,1184301,4273,10043,10661
Refrigerated bulk,94,50,1670,1877,1993,1994,1997,1996,1764,4829,4434,4358,244,556,1083,1071,43,140,131,128,1078.7,81780,83351,5569846,12170383,13708792,59254,126269,136333
Service - other,73,31,723,546,1994,1995,1998,1997,905,2697,1497,1406,148,523,724,637,45,145,141,114,268.7,20260,20649,3812430,7822269,8428969,52225,116210,131217
Miscellaneous - fishing,68,58,584,482,2006,2006,2007,2008,4077,7186,6933,6859,666,1247,2057,2001,74,241,388,205,259.6,19489,19863,3387262,7513601,8542203,49813,117232,138971
Service - tug,31,21,60,59,1998,2002,1996,1995,855,1896,1488,1574,226,439,892,959,29,121,72,69,60.3,4556,4643,1516011,3584909,4799999,48904,126278,170496
Other liquids tankers,21,2,24,24,2002,2002,2003,2003,601,612,608,607,76,62,143,144,27,26,37,37,36.0,2785,2839,12152,34697,74808,579,2005,3239
Ferry-pax only,4,3,1,0,2013,2011,2004,2007,470,1169,895,649,78,131,186,158,22,33,20,26,1.0,78,79,7903,16094,20274,1976,4594,6057
