Int. Arr. by Partner,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Saudi Arabia,51,17,425,679,1997,2001,2000,1999,374,428,398,397,44,58,82,82,61,108,249,266,344.3,26599,27109,515314,1366720,1470155,10104,29387,37352
United Arab Emirates,32,26,1309,2137,2007,2009,2004,2004,1818,1917,1880,1878,173,175,189,192,73,185,317,336,394.4,30485,31071,1375345,3559490,4220388,42980,139828,172629
Somalia,27,6,203,277,2003,2004,2003,2003,471,604,514,512,39,51,44,43,35,53,39,39,43.1,3297,3360,241633,935015,1079432,8949,38152,46884
Egypt,17,10,200,323,1993,1996,1996,1996,978,1260,969,969,288,558,326,326,86,754,390,356,232.1,17675,18014,354654,799739,1020302,20862,58746,72836
Turkey,6,6,97,147,1996,1996,1998,1998,1867,1904,2235,2275,198,250,374,389,47,104,208,223,16.6,1273,1298,107754,317001,458146,17959,77495,103346
Yemen,5,5,18,25,1997,1997,1998,2001,414,578,397,371,93,166,155,165,76,65,74,85,8.9,669,682,32375,109470,131719,6475,22588,31054
Djibouti,4,4,41,56,2005,2005,2005,2004,397,396,184,151,45,61,61,58,32,35,34,31,5.9,454,463,32097,113138,133604,8024,33799,42288
Indonesia,2,2,407,232,1998,1998,2000,1999,5129,5129,5606,5077,386,386,413,390,144,144,50,131,29.7,2296,2340,171733,686700,842715,85866,346015,394734
Sri Lanka,2,2,81,121,2008,2008,2008,2008,2631,2631,2622,2619,196,196,198,198,46,46,51,52,10.6,818,834,45828,167331,247065,22914,137099,187222
Sudan,2,2,26,34,2006,2006,2006,2007,613,613,614,607,370,370,354,380,69,69,66,71,7.8,587,599,21688,82549,102694,10844,51637,66027
Gibraltar,2,2,209,359,2014,2014,2014,2015,3100,3100,3114,3119,268,268,274,276,226,226,153,130,23.6,1822,1857,90882,294217,382882,45441,234745,303345
Greece,2,2,13,19,1992,1992,1992,1992,1681,1681,1678,1665,192,192,193,191,180,180,180,177,8.1,618,630,25144,73545,96739,12572,54690,69830
Malta,1,1,27,39,2009,2009,2009,2009,1917,1917,1917,1917,168,168,168,168,111,111,111,111,4.4,336,343,14591,53278,78665,14591,87304,119222
South Africa,1,1,86,142,1998,1998,1998,1998,4309,4309,4309,4309,449,449,449,449,393,393,393,393,7.6,584,595,58180,161512,251022,58180,274098,355250
Bangladesh,1,1,93,139,2014,2014,2014,2014,3944,3944,3944,3944,477,477,477,477,74,74,74,74,8.6,663,676,61939,122588,152048,61939,197735,229903
Mauritius,1,1,96,168,1995,1995,1995,1995,3682,3682,3682,3682,423,423,423,423,25,25,25,25,7.1,547,557,75125,148687,184419,75125,239832,278850
Singapore,1,1,826,1502,1997,1997,1997,1997,15696,15696,15696,15696,1428,1428,1428,1428,18,18,18,18,53.0,4107,4186,776178,1634558,1799982,776178,1906404,2382778
Thailand,1,1,77,123,1996,1996,1996,1996,5233,5233,5233,5233,674,674,674,674,212,212,212,212,8.1,626,638,50464,140091,217729,50464,237745,308134
Australia,1,1,29,44,2004,2004,2004,2004,5679,5679,5679,5679,453,453,453,453,53,53,53,53,8.1,627,639,75033,220100,303533,75033,300601,379024
Russian Federation,1,1,29,44,2006,2006,2006,2006,5735,5735,5735,5735,511,511,511,511,1,1,1,1,7.6,582,594,76254,223683,308474,76254,305494,385193
Oman,1,1,17,18,2013,2013,2013,2013,1807,1807,1807,1807,136,136,136,136,34,34,34,34,4.6,355,362,13812,40015,44190,13812,75619,99441
