int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Service - tug,203,82,2011,2010,2010,2010,256663876,236093206,542,1316,906,829,209,15729
Ro-Ro,38,9,2012,2009,2006,2008,29651688,28184126,200,598,650,512,85,6391
Chemical tanker,97,28,2009,2007,2009,2009,715440610,1104194899,892,1462,1284,1324,232,17792
Container,115,26,2002,2005,2004,2004,1863059331,2368354362,886,1099,1199,1201,408,31352
Offshore,99,54,2012,2012,2011,2010,320355732,247004736,655,2347,1302,1346,343,25769
General cargo,126,92,2005,2005,2006,2006,1609317371,2147627733,1082,1285,1404,1382,332,25457
Oil tanker,94,68,2004,2005,2007,2007,8503338863,15664163635,960,1719,1945,1949,1014,78549
Cruise,18,11,2001,2002,1998,1998,395466456,51392225,392,516,649,708,69,5357
Bulk carrier,61,55,2006,2006,2006,2006,1491004387,2495351171,990,1242,1242,1238,176,13545
Vehicle,31,16,2010,2006,2009,2009,1388900656,435209158,702,1124,929,968,97,7552
Service - other,19,14,2009,2010,2001,2002,45669301,16908034,311,1019,2428,1718,31,2347
Liquefied gas tanker,91,10,2007,1999,2008,2008,24260226806,18941623261,2409,2799,2842,2848,2482,152939
Ferry-RoPax,2,2,2008,2008,2013,2012,4196320,1971949,1255,1255,1419,1376,5,352
Miscellaneous - fishing,1,1,1995,1995,1995,1995,139026,115334,447,447,447,447,0,35
Ferry-pax only,1,1,2018,2018,2018,2018,1503814,1376372,2549,2549,2549,2549,5,399
