int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Bulk carrier,187,165,2008,2009,2009,2009,10892191236,19336441387,1229,1857,1865,1871,990,76677
Chemical tanker,50,42,2008,2009,2005,2005,1635782237,2708114415,1044,1647,1696,1713,321,24823
Container,273,110,2007,2008,2009,2009,19424959207,22542056512,636,1024,1067,1096,2055,159108
General cargo,152,88,1994,1998,2007,2008,2071849745,2851656612,750,1319,1446,1478,347,26530
Liquefied gas tanker,51,32,2005,2010,2014,2014,10426737881,8368434276,1079,3301,4459,4098,1092,69729
Vehicle,113,85,2007,2008,2009,2009,6925586709,2331162427,583,1136,1057,1027,427,33062
Ferry-pax only,5,5,2001,2001,2009,2009,2483308,352342,251,2742,3383,2708,13,981
Cruise,40,32,2002,2003,2005,2004,2888831835,301765151,768,1346,1380,1361,604,46769
Oil tanker,28,20,2007,2009,2009,2008,1144104006,2060823387,378,881,718,717,118,9104
Ro-Ro,45,14,2000,2002,2007,2008,892176397,690980145,584,868,766,727,145,11137
Service - tug,3,3,2009,2009,2009,2009,780706,340068,179,908,993,929,4,301
Ferry-RoPax,59,3,2001,2002,1999,1997,312346773,96944129,588,600,789,789,129,9842
Service - other,2,2,2014,2014,2013,2012,732003,956411,274,274,284,287,7,547
