int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Bulk carrier,187,165,2008,2009,2009,2009,9206603976,16312232892,1252,1596,1577,1578,858,66445
Chemical tanker,50,42,2008,2009,2007,2007,1509795431,2473635658,774,1367,1565,1565,241,18626
Container,273,110,2007,2008,2010,2010,14625129847,16844619677,632,832,804,819,1603,124132
Vehicle,113,85,2007,2008,2008,2008,11898308396,4068795641,805,2048,1815,1792,734,56866
General cargo,152,88,1994,1998,2005,2006,2294908549,3063112183,1092,1761,1602,1588,423,32443
Liquefied gas tanker,51,32,2005,2010,2014,2014,10446365912,8456485436,788,3122,4467,4141,1256,78978
Ferry-pax only,5,5,2001,2001,2000,2000,1260202,193425,1137,1930,1717,1487,14,1028
Cruise,40,32,2002,2003,2004,2002,3250995305,335902798,870,1429,1553,1515,687,53176
Oil tanker,28,20,2007,2009,2009,2009,2673084209,4843045083,789,1967,1677,1684,283,21726
Ro-Ro,45,14,2000,2002,2011,2011,1406672921,1172297741,774,1049,1208,1233,180,13876
Service - tug,3,3,2009,2009,2009,2009,210260,101824,314,281,268,278,1,85
Ferry-RoPax,59,3,2001,2002,2000,1997,351403684,103107716,543,564,887,839,167,12707
Service - other,2,2,2014,2014,2012,2012,916620,1280183,247,247,356,384,1,83
