Domestic by Arr. Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Hazira,1607,575,23854,37713,2003,2007,2008,2008,306,614,565,637,33,93,153,164,24,52,53,55,2866.5,220811,225051,17138177,43935399,52248070,10665,35679,42694
Mumbai,1428,718,22343,33384,2004,2006,2007,2007,454,923,766,835,41,172,174,178,44,149,98,102,3322.7,255898,260811,28165730,68786101,83741818,19724,60373,73928
Haldia,1301,784,32208,51109,2006,2009,2006,2007,688,821,852,812,84,128,172,169,62,107,115,107,4375.9,337778,344263,24286277,70671345,78817301,18667,72847,92775
Mundra,1156,477,31368,37956,2007,2007,2008,2008,454,628,498,505,34,113,72,79,23,36,32,35,3497.1,270455,275648,23371150,64323281,74318537,20217,67318,79543
Jawaharlal Nehru,1050,374,18308,24053,2006,2007,2007,2007,459,739,500,517,46,144,106,112,22,78,54,55,2963.2,228705,233097,25928917,65637444,79192406,24694,72816,89763
Kandla,1022,650,12551,19986,2007,2008,2007,2007,466,616,636,636,76,141,159,158,36,65,66,66,2374.2,182762,186271,11700565,34339357,40681699,11449,43048,52247
Visakhapatnam,914,375,21793,33945,2003,2006,2005,2006,492,956,871,902,46,171,193,188,42,92,91,90,2710.6,208878,212889,19900408,50332480,57811581,21773,70175,85347
Cochin,848,288,16534,25201,2003,2005,2004,2004,727,1076,835,876,62,207,149,148,26,108,50,49,2404.2,185183,188738,19794416,50798311,58643232,23342,72342,87161
Paradip,753,340,19125,33315,2005,2008,2005,2005,600,879,808,800,54,110,135,132,59,79,96,97,2022.4,156242,159242,14410799,35935995,42498236,19138,68440,82543
Magdalla,685,35,347,452,2004,2002,2002,2003,150,462,256,260,29,434,149,147,22,119,236,281,147.1,11060,11272,1146137,2963135,3961570,1673,5271,7091
Krishnapatnam,596,249,9100,14134,2005,2008,2005,2006,531,706,533,554,46,94,101,99,33,91,65,68,1231.8,94939,96762,8764211,26158574,30532461,14705,52392,63121
Dharamtar,520,39,523,807,2007,2004,2011,2011,179,585,316,330,34,184,163,168,23,201,105,108,149.0,11261,11477,1244026,3316719,4512617,2392,8207,10734
Muldwarka,508,54,781,1106,2000,2002,1999,1998,256,402,479,483,29,159,116,111,15,38,76,75,206.7,15714,16015,1635632,3849619,4786597,3220,10209,12819
Mangalore,507,235,9108,14278,2004,2007,2005,2006,565,1086,817,878,54,150,229,235,35,65,73,74,1257.5,96730,98587,9868453,25815198,29884261,19464,64113,77988
Chennai,465,206,7104,10126,2001,2005,2004,2005,750,1287,1095,1037,79,197,440,236,56,106,143,102,1662.2,127741,130194,9113957,22670865,28565752,19600,61884,77401
Pipavav,464,133,6038,7276,2009,2007,2008,2008,221,429,335,339,22,110,56,58,21,32,28,30,666.5,51476,52464,4731653,13361620,15685025,10198,34389,41006
Ennore,458,160,13937,20609,2003,2005,2004,2003,636,1084,930,863,104,157,176,177,48,91,83,95,2078.5,160778,163865,9637442,26850662,30815468,21042,77195,94374
Jaigad,453,111,2267,4013,2011,2007,2010,2010,142,678,439,456,20,294,139,122,17,110,57,56,286.8,21945,22366,3022824,7177562,9147070,6673,20482,25529
New Tuticorin,426,157,10003,15716,2005,2008,2007,2007,853,1044,915,956,70,128,133,132,35,67,81,85,1180.2,90762,92504,8871839,22997757,26970204,20826,72564,86777
Dahej,389,216,4226,6671,2005,2006,2009,2009,312,504,398,404,36,112,170,161,36,77,65,67,844.1,64542,65781,4048174,11870836,13388038,10407,37655,45697
Sikka,382,209,7673,12517,2008,2008,2009,2009,508,1109,785,789,90,180,218,214,36,137,64,64,1280.6,98736,100632,7185913,22186858,25803432,18811,71002,86715
Jafrabad,332,51,861,1411,2012,2007,2009,2009,121,444,422,448,23,179,161,157,20,30,45,46,91.8,7010,7145,924310,2352410,3071724,2784,8797,11496
Kakinada,324,206,4761,7419,2004,2005,2004,2004,498,1087,876,864,50,214,185,171,46,158,146,138,853.6,65420,66676,7983945,21958573,27014461,24642,81733,103516
Mormugao,324,181,4833,7536,2004,2007,2006,2007,437,625,553,576,40,99,98,99,36,94,89,98,659.0,50804,51780,4263594,11722676,13753511,13159,45877,55158
Vadinar,288,153,8509,15254,2008,2007,2006,2006,473,859,896,917,51,260,530,563,33,86,60,59,1113.2,85979,87629,8487284,17880341,21343379,29470,83043,102365
Kolkata,238,82,1320,1618,2003,2004,2004,2005,423,1344,762,751,54,297,492,458,85,132,126,118,408.1,31088,31685,4139479,9849694,11453983,17393,46541,55642
Port Blair,237,39,1940,1734,1996,1999,1997,1998,965,2727,1230,1232,92,274,272,298,72,220,152,130,402.0,30730,31320,3645072,10190610,14240548,15380,51522,70728
Kattupalli,195,49,1884,2201,2006,2007,2003,2003,86,809,274,260,15,222,115,114,19,111,25,23,309.3,23826,24283,2320164,6913692,7812643,11898,38013,44840
Jakhau,186,67,692,1017,2008,2008,2012,2011,405,914,538,504,47,269,470,283,37,88,106,115,140.1,10670,10875,3402146,8092481,10755998,18291,50033,66676
Dwarka,180,135,2066,3317,2006,2006,2006,2005,287,421,438,442,30,97,97,95,11,32,39,42,228.8,17633,17971,2662520,6393968,7743931,14792,42349,53239
Alang,167,80,270,372,2003,1998,1995,1995,121,579,313,315,25,133,216,219,10,62,349,365,148.1,11294,11511,849201,2201641,2813206,5085,15088,19693
Okha,164,131,2822,4105,2005,2006,2007,2007,397,607,488,457,44,133,94,103,22,90,55,57,372.9,28741,29293,2372961,5992981,7046457,14469,44782,54614
Rozi,163,118,3966,6893,2009,2009,2011,2012,433,849,1007,996,58,188,427,431,54,83,69,70,447.4,34538,35201,3735222,8586131,10287923,22915,66645,83262
New Mangalore,161,100,3029,4934,2006,2007,2007,2007,593,870,847,881,102,172,163,164,27,50,46,46,449.1,34620,35285,2977180,7360925,8587243,18492,60625,74209
Bhavnagar,154,72,488,751,2000,2002,2004,2006,150,332,304,287,24,66,117,107,15,109,68,69,120.1,9204,9381,670469,1694422,2042897,4354,13229,15983
Navlakhi,145,80,1022,1771,2009,2011,2012,2012,293,503,436,437,60,105,123,122,71,100,98,98,144.6,11149,11363,842823,2003506,2575662,5813,19948,24899
Gangavaram,133,105,3305,5431,2004,2005,2004,2004,556,1211,999,988,64,189,549,569,41,69,62,63,380.2,29310,29873,3480634,8232016,9871591,26170,82960,100226
Dighi,130,50,783,1403,2004,2005,2001,2000,224,433,789,860,24,73,251,260,24,77,59,60,73.9,5672,5781,701747,1662342,2050965,5398,17243,21270
Garden Reach,119,67,561,755,2001,2002,2001,2002,590,914,721,712,54,140,293,258,39,63,93,93,153.5,11716,11941,1589406,4190035,5092369,13356,39444,48573
Karaikal,115,55,1446,2433,2005,2007,2003,2003,572,951,720,725,58,385,200,193,53,110,67,67,202.6,15600,15899,1838818,4031634,4843743,15990,47104,56122
Porbandar,114,69,579,811,2006,2007,2007,2008,305,574,419,402,44,115,107,97,52,55,52,56,108.6,8313,8473,814428,2135356,2657775,7144,26030,33858
Dhamra Port,101,76,1445,2492,2008,2008,2008,2008,365,518,478,468,41,81,100,94,67,80,78,80,174.2,13461,13719,1178975,2730656,3290078,11673,38840,46493
Navabandar,87,51,719,719,2000,2001,2003,2003,256,538,1057,873,34,212,170,163,10,27,16,18,124.8,8225,8383,592026,2080409,2294021,6805,28693,39936
Beypore,81,19,101,105,2010,2004,2005,2002,440,1979,1082,1060,76,681,746,557,73,195,262,192,71.2,5358,5461,510441,1150341,1405940,6302,16112,20340
Karwar,80,59,722,1174,2002,2003,2003,2003,400,624,576,577,48,168,158,153,30,71,74,75,167.1,12805,13051,941452,2276115,2651056,11768,38971,46785
Panaji,75,70,1995,3539,2007,2007,2009,2009,533,737,722,732,58,140,113,111,129,197,205,218,206.6,15963,16269,1413802,3268884,3765902,18851,58300,68832
Falta,74,49,921,1464,2003,2005,2005,2005,1135,1504,1576,1582,110,237,319,324,45,127,309,278,217.8,16634,16954,1730389,4576148,5496962,23384,72401,87028
Nhave,66,9,80,103,2006,2001,2005,2005,297,473,451,451,34,121,90,89,10,8,28,29,26.3,2001,2040,222518,505134,609899,3371,10138,12671
Ratnagiri,61,11,51,54,2011,2006,2009,2012,260,475,339,324,44,125,102,88,22,45,32,36,10.9,817,832,257171,676361,934097,4216,12381,17215
Port Pipavav,49,29,160,214,2009,2008,2010,2010,224,540,472,470,38,186,109,106,11,20,22,22,38.4,2931,2987,306133,901003,1125001,6248,21949,28623
Uran,48,27,67,91,2001,2007,2005,2004,261,736,405,420,38,431,422,325,18,133,119,128,24.7,1866,1902,385105,996680,1354801,8023,23177,31713
Kattupalli Port,38,32,803,1204,2005,2003,2005,2005,738,1380,1007,974,94,277,554,404,20,64,75,70,140.3,10794,11001,1730396,4099496,4666376,45537,124199,147044
Kanyakumari,34,18,238,332,2005,2003,2001,2001,118,1355,1611,1747,35,341,2985,3292,8,27,7,7,40.7,3112,3172,1684912,3485920,3776065,49556,112903,128465
Positra,34,29,513,675,2006,2006,2009,2008,414,523,520,492,35,50,61,66,6,19,18,21,65.8,5089,5187,366467,1195867,1401953,10778,41468,50142
Mangrol,33,28,74,116,2003,2003,2005,2005,184,399,408,440,32,108,86,87,7,16,31,31,12.8,980,999,136534,357880,482967,4137,13632,18136
Ranpar,28,21,92,145,2006,2007,2006,2006,281,284,311,321,28,40,37,38,23,29,31,31,21.9,1679,1711,170748,445505,540127,6098,18098,21766
Harnai,27,19,177,299,2005,2006,2006,2006,209,413,587,586,28,73,128,128,11,80,137,142,24.3,1880,1916,181304,401537,482520,6715,21374,25649
Vijaydurg,24,23,209,200,2005,2005,2010,2006,318,1754,659,528,50,610,668,918,4,9,6,6,42.9,3257,3320,513658,1169732,1343061,21402,54142,63489
Machilipatnam,22,12,70,69,2008,2007,2011,2011,759,1172,1258,1243,230,332,951,914,36,69,48,48,36.2,2723,2775,1498175,3547713,4751787,68099,176460,238249
Cuddalore,21,8,9,9,2004,2000,2007,2007,118,282,338,352,37,364,1071,1071,46,76,83,71,9.8,735,749,230069,543962,728197,10956,28285,38184
Veraval,20,15,95,102,2000,2002,2000,2002,375,363,493,428,41,61,64,49,6,17,11,14,13.1,999,1019,158402,383544,469000,7920,21663,26843
Kollam,17,14,59,57,2003,2004,2003,2001,290,1108,504,326,37,688,2225,1304,23,40,41,28,35.2,2652,2703,195437,427789,492228,11496,28890,34592
Dabhol,17,14,74,106,2008,2007,1979,1978,490,997,2530,2753,124,855,4517,4599,20,23,11,11,24.4,1842,1877,767321,1594731,1754475,45137,101809,116917
Beyt,17,15,437,529,2005,2004,2008,2007,425,583,507,473,31,291,42,40,26,341,33,35,60.1,4626,4715,270753,748149,883840,15927,54669,65459
Mandvi,16,15,250,295,2003,2003,2006,2006,529,1162,568,538,36,306,234,202,14,57,31,28,47.0,3589,3658,177698,474472,553069,11106,39971,48569
Nagercoil,15,10,85,124,1991,1995,2004,2005,232,487,493,581,86,402,184,112,8,9,8,9,16.5,1255,1279,121301,287211,335193,8087,24070,28429
Alleppey,15,11,161,242,2006,2006,2008,2007,692,750,478,427,56,85,77,71,9,8,32,30,22.8,1747,1780,250159,661287,788792,16677,51447,62750
Nagapattinam,13,11,68,112,2000,2003,2000,2001,218,352,398,381,38,53,78,83,8,438,1635,1414,32.1,2472,2519,62940,162563,195304,4842,15926,19262
