Int. Arr. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Bulk carrier,5335,3193,601499,1097405,2010,2010,2010,2010,2418,2771,2877,2897,223,278,405,406,87,115,126,127,48136.8,3726967,3798525,301400767,701908727,844947078,56495,204217,244081
Container,4116,666,238855,278102,2006,2006,2007,2007,1144,1410,1275,1272,82,103,127,128,23,27,29,29,29127.6,2253044,2296303,202751805,565307785,635310273,49259,153282,177870
Chemical tanker,2527,995,105572,172095,2007,2008,2009,2009,2140,2663,2633,2639,202,262,357,358,43,59,65,65,19076.8,1471917,1500178,82378821,343293793,402757987,32599,155229,187616
Oil tanker,2112,951,520876,983991,2006,2007,2007,2007,2064,3263,3231,3259,214,327,585,592,51,72,81,81,38517.1,2982719,3039987,349281045,630931470,708683735,165379,430136,533071
General cargo,1442,624,30760,42505,2004,2006,2007,2007,1369,2100,2101,2095,142,225,363,355,64,86,95,97,5519.4,423911,432050,24579628,81939080,118135577,17046,86557,115670
Liquefied gas tanker,1154,356,174831,159820,2007,2008,2010,2009,1726,3243,3219,3080,176,269,377,370,32,58,41,45,22860.4,1530177,1559557,49652980,288881831,253615176,43027,329316,490838
Vehicle,335,207,34996,11616,2007,2007,2007,2007,1552,1960,1897,1885,103,137,195,195,14,25,25,24,2129.3,164916,168083,11762892,51861741,60061182,35113,133465,143638
Service - tug,253,150,387,352,2006,2005,2007,2006,1050,1527,1645,1661,249,494,668,654,70,225,324,321,330.4,24902,25380,9014722,21317103,28542449,35631,92006,124224
Cruise,57,41,3315,398,2000,2000,2000,1999,865,1056,1035,1066,55,76,103,110,11,21,21,22,757.3,58653,59779,1537192,8078369,9416846,26968,122671,130847
Service - other,47,32,489,502,2003,2001,2000,2001,1063,2421,2039,1938,215,752,1072,1299,93,375,363,166,233.1,17627,17966,3503336,7188077,7745588,74539,165862,187282
Ro-Ro,22,13,828,456,2002,1998,2008,2007,1458,1575,1442,1451,127,273,147,167,54,68,63,66,128.1,9879,10069,529410,1308077,1221846,24064,56791,62574
Refrigerated bulk,13,13,659,688,1987,1987,1988,1988,4591,5196,5413,5387,584,672,1171,1137,43,125,146,144,356.1,26991,27509,2041856,4461555,5025522,157066,334706,361381
Ferry-RoPax,4,4,131,26,1992,1992,1987,2000,2762,4238,3360,2515,248,370,564,367,266,403,448,584,53.9,4059,4137,163575,403635,495888,40894,87361,80376
Miscellaneous - fishing,3,2,0,0,1977,1980,1976,1977,46,70,77,71,14,21,43,38,14,25,19,22,0.2,18,18,983,2181,2479,328,771,914
Ferry-pax only,1,1,0,0,1996,1996,1996,1996,610,610,610,610,12,12,12,12,39,39,39,39,0.3,22,22,3762,7662,9652,3762,8749,11533
