Domestic by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Bulk carrier,5614,1566,109767,193799,2007,2010,2008,2008,444,632,748,747,53,96,153,151,58,100,100,100,10435.4,806863,822355,66708128,150438979,184890037,11882,41975,50185
General cargo,4029,351,11526,13866,2006,2005,2004,2005,231,789,660,617,36,127,269,199,25,95,123,109,2734.2,208540,212543,17213124,52110966,74763795,4272,16729,23109
Container,3936,477,78812,93523,2005,2007,2006,2006,421,438,439,443,30,33,48,49,20,25,26,26,9639.1,744721,759020,68301275,202726043,228821878,17353,57299,67183
Chemical tanker,2613,615,32840,53417,2007,2008,2007,2007,483,719,707,711,57,88,153,155,32,46,58,58,6837.5,526621,536732,25562948,106317771,124608549,9783,46480,56105
Oil tanker,2143,287,64235,110545,2002,2004,2004,2004,633,753,908,905,70,97,270,277,43,61,72,72,10334.9,799533,814884,80465676,166858805,193833344,37548,103882,125341
Service - tug,1336,239,1433,1253,2003,2004,2008,2007,340,996,1276,1325,95,630,1300,1255,34,229,501,507,1351.1,101517,103466,32048371,75784749,101471683,23988,61942,83632
Liquefied gas tanker,699,116,17415,20047,2002,2006,2006,2006,479,836,1017,1041,50,140,218,224,32,56,69,70,2918.8,221018,225262,7815206,37580912,34815395,11181,77870,112486
Service - other,430,76,3504,4056,2003,2004,2004,2004,621,3493,2341,2437,102,763,1606,1670,48,224,498,413,1176.9,89136,90848,28302983,58071507,62575565,65821,146463,165377
Vehicle,96,68,4093,1372,2007,2007,2009,2008,447,712,750,749,29,48,86,86,23,32,25,25,245.7,19028,19394,1388924,6123668,7091831,14468,54993,59184
Cruise,77,31,1398,164,2000,2000,2002,2000,264,387,343,347,18,30,29,29,10,19,17,19,342.3,26516,27025,649404,3521041,4209758,8434,39233,42429
Miscellaneous - fishing,48,3,71,30,1987,1997,1987,1987,490,2364,643,639,90,81,476,466,10,1094,166,159,37.7,2831,2885,211677,469540,533820,4410,10379,12303
Ferry-pax only,29,7,65,9,2004,2004,2002,2002,3460,7139,5477,6101,583,1496,2259,2405,40,522,825,817,116.9,8780,8948,737908,1502818,1893086,25445,59171,78007
Ferry-RoPax,11,2,175,80,2007,1994,1981,1980,394,9716,2638,3008,46,1703,4321,4455,24,51,75,72,78.7,5922,6036,495113,1224376,1502317,45010,96079,87508
Refrigerated bulk,5,5,460,551,1984,1984,1986,1986,240,9184,10089,11265,131,588,2114,2161,23,84,264,270,143.0,10882,11091,1634445,3571342,4022781,326889,696597,752115
Ro-Ro,4,4,10,6,1993,1993,1993,1995,139,243,209,277,68,80,68,77,22,46,50,30,5.2,400,408,8646,30932,22384,2161,5138,6022
Other liquids tankers,1,1,2,2,2007,2007,2007,2007,2123,2123,2123,2123,535,535,535,535,144,144,144,144,5.9,447,455,1249,3567,7690,1249,4327,6993
