Int. Arr. by Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Guayaquil,1083,363,40479,50271,2007,2008,2008,2008,792,1740,1277,1301,71,176,222,235,30,79,48,51,6503.5,501332,510958,41729001,116349859,134283482,38531,122036,143411
Esmeraldas,468,231,31286,50498,2008,2008,2009,2009,847,1525,1700,1819,85,164,385,402,45,59,69,74,4269.3,330101,336439,27180688,61654455,72692501,58078,165122,202025
La Libertad,381,322,21943,35824,2010,2010,2010,2010,1228,1887,1904,1855,117,190,382,377,16,43,42,42,2713.5,209832,213861,14622020,41855078,49762563,38378,147523,177207
Manta,292,206,13187,7744,1999,2002,2007,2007,811,2936,1502,1854,74,312,537,706,18,78,47,82,1845.9,141078,143787,14076016,39629891,45572940,48206,136454,155562
Puerto Bolivar,274,101,7721,8274,1999,1997,2002,2001,2138,1869,2124,2052,144,149,231,231,56,113,76,78,3310.9,252381,257227,22390413,49923637,56140830,81717,178309,193507
Posorja,216,148,7942,10623,2005,2006,2007,2008,995,2323,1592,1678,87,255,400,434,6,93,48,44,1493.0,114580,116780,10420862,26411126,31210002,48245,141244,165616
Duran,39,33,695,1149,2007,2008,2012,2012,769,927,948,945,104,141,185,181,36,57,48,48,98.8,7610,7756,622836,1688174,2097778,15970,57415,69157
Baltra,36,3,15,4,2002,2000,2001,2000,94,423,154,197,19,49,40,50,8,41,39,27,22.0,1649,1680,10683,51790,103285,297,1497,2687
Monteverde,25,7,2806,3351,2012,2013,2012,2012,2501,2388,2473,2469,242,241,300,301,193,169,164,163,434.6,33588,34233,780706,5833008,4843587,31228,282448,438888
Puerto Ayora,22,2,7,3,2002,2000,2001,1999,104,106,107,107,19,28,24,36,9,15,11,18,8.4,629,641,5695,24372,44489,259,1171,1956
Baquerizo Moreno,8,3,2,1,1998,1993,2000,1998,62,55,75,69,11,16,17,27,8,10,11,14,1.8,132,135,2744,9600,14778,343,1298,1905
Puerto Villamil,4,2,3,4,1989,1989,1998,1998,78,137,214,221,18,34,75,75,16,18,15,15,1.5,114,116,7453,22686,28797,1863,6285,8083
Caleta Tagus,4,1,3,5,1998,1998,1998,1998,137,137,145,145,22,22,38,38,13,13,15,15,1.5,113,115,8293,25684,32759,2073,7130,9201
Seymour,3,1,1,0,2002,2002,2002,2002,122,122,93,93,27,27,33,33,6,6,6,6,1.3,95,97,345,1950,4240,115,665,1285
San Lorenzo,2,2,247,385,2010,2010,2011,2011,6277,6277,7904,8201,562,562,802,815,14,14,18,18,26.9,2080,2120,221502,472908,569080,110751,334504,386007
