Domestic by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Oil tanker,1721,46,3228,5354,2003,2005,2002,2002,137,300,271,280,14,85,584,653,25,59,73,71,2336.4,178473,181900,6389846,8219777,9080182,3713,11005,13766
Cruise,1647,33,493,191,1998,1998,1998,1998,158,182,202,220,36,38,63,88,17,17,39,43,1675.0,125859,128275,3458166,6680435,10249823,2100,4624,6952
Chemical tanker,634,68,1152,1844,1997,2009,2004,2004,129,175,230,228,13,25,92,92,27,74,77,77,623.5,47666,48582,1543801,5433149,6652850,2435,9802,12266
Ferry-pax only,410,5,129,26,1988,1986,1973,1972,149,155,203,205,32,35,56,55,13,152,60,72,118.6,8907,9078,1113200,2656579,3396586,2715,6879,9086
Container,404,73,6501,7555,2003,2006,1999,1999,117,286,493,490,13,28,119,119,19,27,26,27,1152.7,88991,90699,7227234,23646527,26349314,17889,61104,71823
Refrigerated bulk,127,49,157,173,1997,1996,1998,1998,110,129,112,112,11,24,23,23,25,73,55,55,271.0,20394,20785,514205,1123562,1265587,4049,8628,9316
General cargo,120,16,154,205,1995,2005,1997,1997,125,190,267,260,14,44,59,58,78,54,133,133,78.3,5961,6075,359369,1055065,1473146,2995,11595,15099
Service - other,120,8,1023,1524,2008,2006,2009,2009,195,2407,1355,1232,46,645,1202,1130,30,50,567,556,248.8,18948,19312,10638191,21827233,23520165,88652,197265,222740
Bulk carrier,63,52,189,307,2011,2011,2010,2010,72,122,119,120,8,24,60,61,65,68,67,68,31.3,2408,2455,130718,294185,400961,2075,7683,9361
Service - tug,43,8,10,7,1982,1980,1975,1974,302,796,947,1037,112,770,1698,1649,39,54,193,208,65.0,4880,4973,188688,446189,597423,4388,11331,15299
Miscellaneous - fishing,34,14,697,618,1988,1988,1991,1993,1211,11004,10189,10008,118,1089,2587,2809,134,424,696,607,344.7,25883,26380,4345112,9638296,10957767,127797,300765,356539
Vehicle,21,21,236,77,2008,2008,2007,2007,167,194,194,195,14,16,17,17,3,10,10,10,14.0,1081,1101,78437,345821,400496,3735,14197,15279
