int_dep_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Bissau,191,71,1998,2001,2003,2004,2105499440,2626063162,1134,2152,1499,1427,770,58445
Bubaque,6,6,2001,2001,1994,1993,93980243,80783656,4714,7222,3228,3518,43,3233
Bolama,4,4,1997,1997,1988,1991,9050988,4015518,2045,2017,2815,2628,6,449
Farim,4,4,1996,1996,1991,1991,44829796,35416625,4517,6972,11659,11601,29,2152
