int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Bulk carrier,8,7,2007,2007,2008,2008,184877489,316104053,509,934,1136,1182,21,1630
Chemical tanker,23,8,2009,2010,2009,2009,103055679,150517676,1178,1526,1314,1314,43,3283
General cargo,27,19,2002,2006,2008,2008,254772962,344374775,679,1422,1486,1495,66,5041
Cruise,1,1,2013,2013,2013,2013,7978546,1045950,726,726,726,726,4,312
Refrigerated bulk,33,4,1985,1986,1985,1984,39527587,43042760,607,561,703,704,197,14772
Miscellaneous - fishing,31,21,1990,1993,1987,1987,328777009,203240108,3499,6158,7853,7347,180,13490
Container,65,19,2002,2002,2004,2004,1283502381,1620313093,1150,1469,1470,1466,269,20630
Service - tug,3,2,2004,2001,2010,2010,7733947,5824938,3026,5925,2416,1790,49,3666
Oil tanker,13,1,1996,1996,1996,1996,42920030,61658890,1198,1198,1189,1189,19,1413
Offshore,1,1,1992,1992,1992,1992,214838,156717,34,34,34,34,1,45
