int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Chemical tanker,23,8,2009,2010,2010,2010,119222129,172847429,1772,1517,1520,1509,52,3975
Bulk carrier,8,7,2007,2007,2009,2009,196431167,318105609,1154,1400,1207,1189,30,2335
General cargo,27,19,2002,2006,2007,2007,267023166,358825076,1193,1552,1558,1558,71,5470
Refrigerated bulk,33,4,1985,1986,1986,1985,54899982,58072321,679,801,976,950,103,7751
Cruise,1,1,2013,2013,2013,2013,15591200,2043934,1418,1418,1418,1418,7,532
Miscellaneous - fishing,31,21,1990,1993,1986,1986,266254270,141623017,1863,4625,6359,5120,122,9198
Container,65,19,2002,2002,2003,2003,567051656,715455348,603,654,649,647,208,15832
Service - tug,3,2,2004,2001,1995,1994,5872435,5961693,1826,1848,1835,1832,9,655
Oil tanker,13,1,1996,1996,1996,1996,37326703,53623520,488,488,1034,1034,15,1109
Offshore,1,1,1992,1992,1992,1992,29497838,21517702,4623,4623,4623,4623,14,1032
