int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Bulk carrier,301,216,2009,2010,2010,2010,44163490491,83845347197,451,2655,3263,3391,2909,225206
Oil tanker,245,170,2006,2007,2009,2009,11612507834,20825720825,449,968,1118,1125,2540,196507
Vehicle,190,141,2008,2008,2006,2006,3867368950,1320194861,180,375,337,350,251,19464
Container,293,56,2006,2005,2008,2007,5064280945,5810540358,305,428,367,367,682,52761
Chemical tanker,209,140,2011,2011,2011,2011,3582454147,5835805778,451,713,803,810,796,61334
General cargo,231,80,1994,2004,2000,2000,2133924598,2730388931,315,1113,1110,1046,393,30168
Service - other,68,33,2003,1999,1999,1998,35677881,34881643,159,671,676,692,94,7049
Service - tug,525,134,2002,2005,2002,2001,83783481,65606352,140,334,272,267,168,12595
Liquefied gas tanker,18,15,2011,2009,2014,2014,518882841,594595400,437,943,898,886,89,6894
Cruise,36,11,2012,2010,2012,2012,1534018169,144861906,256,762,465,473,400,31023
Offshore,28,25,2001,2003,2009,2006,39822530,23993747,272,1411,345,351,84,6336
Ro-Ro,10,8,2007,2006,2009,2008,151783599,82331329,331,374,363,366,39,3030
