dom_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Cruise,241,24,1997,1999,1998,1998,547737260,67347752,136,170,167,166,383,28990
Chemical tanker,91,18,2009,2011,2011,2011,166691935,266625623,223,174,179,177,107,8112
Container,160,25,2004,2007,2005,2005,302519843,388272660,132,130,142,141,108,8218
Ro-Ro,124,3,2012,2008,2013,2013,25510137,25940228,139,146,434,460,148,11113
General cargo,58,11,2004,2004,2004,2004,86260149,96543273,120,128,127,127,20,1514
Liquefied gas tanker,28,3,2011,2007,2012,2012,44875408,44413111,294,179,327,326,16,1253
Miscellaneous - fishing,15,7,2009,2009,2011,2012,19464852,15331190,6469,7922,6789,9498,44,3280
Oil tanker,10,7,2007,2007,2007,2007,41135608,64272886,132,137,140,140,31,2396
Bulk carrier,8,8,2006,2006,2004,2004,31681797,51261641,143,165,156,159,8,651
Service - other,38,3,2014,2011,2011,2013,31520981,7244614,307,3554,1493,507,38,2888
Ferry-RoPax,476,3,1969,1974,1970,1972,306092323,85339826,124,153,152,169,212,15914
Service - tug,17,3,1985,1986,1997,2001,5637596,8099061,183,405,1115,1447,10,734
Vehicle,1,1,2009,2009,2009,2009,4665699,1562093,90,90,90,90,0,30
