int_dep_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Aitutaki,32,10,2004,2002,2003,2005,263051645,205877601,749,837,837,970,65,4987
Avarua,34,11,2003,2001,1999,2005,324436244,141008637,845,1074,695,930,111,8521
Mitiaro Island,1,1,2009,2009,2009,2009,73851,76959,148,148,148,148,2,156
