int_arr_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Basrah Oil Terminal,1820,982,2005,2006,2009,2009,214741463083,407937746733,585,1437,1700,1739,14363,1111612
Umm Qasr,543,296,2003,2005,2008,2009,18780035680,28441946589,637,1775,1393,1630,2254,174125
Al Faw,343,130,1998,1997,2002,2002,1630016299,2266463689,612,1469,1029,1074,419,31884
Khawr Al Amaya,1037,394,1998,2000,2006,2006,12809002182,20227971024,452,1253,975,1058,1990,153084
Khor Al Zubair,62,46,1998,2001,2010,2010,1093903363,1748850586,528,1013,1464,1474,201,15478
Khawr Al Zubair Lng Terminal,37,32,2006,2005,2008,2008,1120899237,1836559085,790,1441,1815,1853,218,16802
Basrah,9,3,2005,2002,2005,2005,53439451,72568287,463,1116,726,677,7,558
Samarra',1,1,1976,1976,1976,1976,1494615,1934655,379,379,379,379,0,31
Mosul (Ak Mawsil),1,1,1982,1982,1982,1982,6531761,7609149,1568,1568,1568,1568,3,262
Baghdad,2,2,1986,1986,1989,1989,1313594,1449707,143,143,213,169,28,2066
Al Hillah,1,1,2007,2007,2007,2007,342593580,678591423,2126,2126,2126,2126,25,1944
Nasiriyah,1,1,2004,2004,2004,2004,36732814,63658823,1304,1304,1304,1304,4,322
Najaf,1,1,1998,1998,1998,1998,8692857,6473023,345,345,345,345,1,89
