dom_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Service - tug,426,22,2012,2005,2011,2011,75776218,44592607,138,961,312,352,184,13834
Chemical tanker,300,43,2002,2007,2006,2006,2513340901,4093159509,108,639,556,567,586,45004
Bulk carrier,85,50,2002,2007,2005,2006,1084932510,1891217211,201,538,598,609,166,12841
General cargo,344,83,1993,1998,2000,2000,608398021,843894282,198,562,386,378,168,12699
Container,208,50,2003,2004,2004,2004,2396375942,2861359868,181,340,327,331,341,26365
Oil tanker,1003,69,2002,2000,2004,2004,8002067931,13403114363,98,520,497,507,2563,196938
Offshore,58,8,1989,1998,2006,2000,33234056,25734259,190,1454,1476,1668,91,6804
Service - other,36,8,2001,2000,2014,2014,623018840,822589973,157,10711,5596,7106,228,17124
Ro-Ro,33,7,1994,1998,1984,1986,49849312,29163096,99,124,215,198,17,1304
Liquefied gas tanker,40,16,2005,2009,2010,2010,141216991,158835750,276,635,559,549,45,3466
Ferry-pax only,1,1,1998,1998,1998,1998,5908776,804336,30936,30936,30936,30936,4,302
Vehicle,9,2,1987,1996,1988,1986,16644896,8753625,130,96,104,116,2,154
Refrigerated bulk,1,1,1980,1980,1980,1980,851395,897365,210,210,210,210,2,149
Other liquids tankers,35,1,2016,2016,2016,2016,5361702,6052142,120,120,308,308,131,9871
