int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Service - tug,23,20,2005,2004,2010,2010,199670038,162798313,3359,3772,3684,3808,124,9504
Bulk carrier,554,512,2010,2010,2009,2009,119370042010,222925488150,3303,4002,4225,4253,7402,573231
Container,565,172,2005,2006,2009,2009,48693303911,55455018464,1219,1720,1797,1770,5477,423715
Cruise,42,19,1996,1997,2001,2000,1076197636,124721493,147,673,544,539,319,24722
Vehicle,33,28,2007,2007,2005,2004,3616298595,1186902864,2200,2125,1862,1893,220,17027
Oil tanker,132,98,2006,2006,2007,2007,48795385762,92890199701,3405,5103,5102,5144,3807,294500
Miscellaneous - fishing,78,58,2002,2003,2005,2005,1454783578,1163479697,5879,12110,12790,14047,708,53191
Chemical tanker,59,43,2009,2008,2007,2007,3793101081,6223904804,1675,3321,2722,2741,545,42206
General cargo,69,38,2003,2006,2005,2005,4020986447,5055174985,1779,4126,4360,4339,456,35114
Service - other,16,13,1996,1998,1999,1999,389568869,215555861,3200,3558,4290,4153,110,8368
Offshore,19,18,2012,2012,2015,2015,1118109434,871156857,3210,2440,3598,3483,203,13691
Refrigerated bulk,62,36,1993,1993,1998,1998,1143375567,1239729082,3598,5052,4113,3973,786,59494
Liquefied gas tanker,99,62,2010,2011,2010,2010,35981053808,30893842587,3429,4989,4829,4892,4229,264172
Ro-Ro,1,1,2013,2013,2013,2013,3110351,1583095,131,131,131,131,1,53
