Int. Arr. by Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Bar,191,55,928,950,1983,2000,2004,2008,173,846,508,782,22,75,87,114,19,70,71,66,151.9,11647,11870,979805,2839835,3506573,5130,17336,21124
Kotor,100,26,1970,204,2005,2007,2005,2005,226,226,319,330,18,20,29,30,7,13,7,7,415.6,32184,32802,446006,3355651,4126492,4460,29292,33839
Ulcinj,26,19,399,564,1992,1993,2008,2011,800,1426,1983,2649,56,115,345,407,14,54,19,18,50.9,3916,3991,338527,973527,1197854,13020,46357,57192
Petrovac,11,1,0,0,2007,2007,2007,2007,68,68,91,91,10,10,26,26,4,4,5,5,0.8,58,60,1945,4314,4905,177,416,493
Tivat,10,7,192,20,1999,1995,2003,2003,209,250,348,350,22,28,26,27,9,21,9,9,43.9,3395,3460,54410,319812,376448,5441,28655,32408
Zelenika,6,5,184,24,2002,2001,2005,2005,407,516,443,488,49,48,41,47,12,21,8,16,37.1,2872,2927,43584,318201,400479,7264,48634,59659
Bijela,6,5,115,15,1996,1996,2001,1998,415,820,369,412,30,111,32,80,6,1557,128,1402,31.3,2411,2458,99565,327251,360861,16594,51459,55238
Hercegnovi,3,3,69,26,2006,2006,2009,2003,790,711,805,890,45,43,40,45,14,14,13,15,16.8,1300,1325,46087,163534,176678,15362,55576,58594
Igalo,2,2,5,5,1996,1996,1973,1973,471,471,784,837,49,49,64,64,48,48,8,7,1.5,113,115,8730,25052,34398,4365,16966,21434
Budva,1,1,0,0,1963,1963,1963,1963,182,182,182,182,30,30,30,30,7,7,7,7,0.1,6,6,1628,3316,4177,1628,3786,4991
