Int. Arr. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Container,12455,1501,636070,709100,2006,2008,2009,2009,630,1370,1462,1444,47,94,268,269,14,21,21,21,73378.0,5670337,5779207,472582819,1339194122,1521798332,37943,123600,145313
Chemical tanker,6190,1126,106878,172316,2007,2009,2009,2010,845,1953,2064,2106,67,171,397,401,26,51,65,65,20394.0,1568784,1598905,92070573,374494990,445830987,14874,69660,85531
General cargo,5897,1302,50974,70127,2002,2004,2006,2006,719,1471,1454,1420,75,163,337,317,23,48,83,81,9567.0,733473,747555,66616195,206871076,295184034,11297,48559,65209
Bulk carrier,4157,2226,518250,959569,2008,2010,2010,2010,1387,2817,3593,3682,148,276,654,664,36,80,111,111,36494.3,2824627,2878860,235102720,557759080,666937542,56556,198113,238538
Oil tanker,2230,905,487364,914665,2009,2009,2010,2010,1299,3919,4662,4772,120,357,663,669,33,83,130,130,34464.5,2666777,2717979,327765345,597889590,660247430,146980,387427,481556
Liquefied gas tanker,1692,470,258859,226780,2007,2009,2009,2010,944,3820,4969,4944,74,284,646,641,23,43,57,57,33515.3,2206018,2248374,60794448,401856114,340958318,35931,290290,440913
Ferry-RoPax,1519,28,14715,3908,2005,2002,2001,2002,218,2767,534,438,14,239,483,418,8,287,24,22,4172.2,320809,326969,24351764,60193052,73876570,16031,34226,31239
Vehicle,1014,372,136845,46634,2006,2007,2008,2007,1258,2174,2436,2437,86,143,332,333,14,32,46,45,8025.3,621454,633386,47223196,208203659,241121057,46571,177017,190509
Miscellaneous - fishing,880,333,2304,1496,1990,1991,1991,1992,571,2868,2168,2069,67,545,2124,1891,38,305,272,293,1481.6,111450,113590,10517577,23330014,26523863,11952,28128,33344
Refrigerated bulk,778,221,5386,6080,1991,1991,1992,1992,584,1331,1264,1311,68,214,402,394,46,116,175,173,4276.6,323625,329838,18038171,39414281,44396480,23185,49408,53345
Ro-Ro,344,21,3304,1530,1999,1998,1999,2001,584,2632,801,825,35,161,471,281,12,201,38,72,954.7,73543,74955,2835485,15167495,8616380,8243,19817,25413
Ferry-pax only,309,9,93,43,1994,1997,1999,2000,501,1182,1099,1880,18,87,237,430,7,115,65,32,241.2,18111,18458,3515223,7159081,9018229,11376,26455,34876
Service - tug,193,53,207,170,2003,2006,2011,2011,663,1216,1330,1365,97,262,600,616,21,90,84,79,207.9,15676,15977,4351591,10290202,13778025,22547,58221,78608
Service - other,138,40,1101,983,1992,1996,1994,1988,554,2555,1247,1041,52,381,617,398,17,410,467,336,450.9,34224,34881,6858567,14072273,15163727,49700,110590,124872
Cruise,106,24,4054,445,2000,2000,2005,2003,447,487,541,512,34,36,55,51,8,15,11,11,733.4,56759,57849,491080,6745767,9099995,4633,55159,69973
Other liquids tankers,2,1,6,5,2003,2003,2003,2003,1485,1485,1485,1485,163,163,169,169,182,182,185,185,10.7,832,848,2819,8048,17351,1409,4882,7889
