Domestic by Arr. Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Yongdang Dong,1961,597,9841,14062,2002,2002,2004,2004,593,1133,713,759,40,129,235,234,29,73,152,164,3396.9,258844,263814,26663158,54235543,67566656,13597,41932,53349
Onsan,1828,756,18425,25328,2003,2005,2006,2006,575,931,832,842,43,92,257,263,25,57,108,125,3900.5,298902,304641,25470073,58635919,72474335,13933,45196,56453
Pohang,1311,434,12332,19643,2002,2004,2006,2006,438,1129,860,850,26,84,345,220,22,67,117,93,2493.4,189775,193418,12729328,30391813,38822137,9710,32972,41252
Ulsan,1160,510,10363,14210,2002,2005,2007,2006,513,1301,698,762,35,107,214,174,26,56,92,105,2063.9,158029,161064,14720872,35107446,43866546,12690,41096,51676
Gamcheon/Busan,1159,455,6332,8540,1998,1999,2004,2003,514,1308,897,842,32,197,366,296,29,132,103,99,1898.4,144342,147113,12826279,31022984,39484865,11067,35246,45259
Gwangyang,1041,384,7360,8030,2007,2007,2011,2010,237,581,422,402,25,81,441,355,17,44,39,40,1377.5,102894,104870,5902794,19110488,21933736,5670,22852,29764
Jisepo,1019,477,10708,13214,2001,2002,2004,2003,661,1111,889,945,38,101,182,184,24,60,110,107,2103.3,158538,161582,13489655,34946014,43906693,13238,45635,58420
Busan,1018,400,4021,6433,1999,2000,2003,2003,465,1263,838,890,53,229,409,412,24,130,148,140,1803.2,136631,139255,10110720,19491481,24113096,9932,29514,37616
Daesan,622,357,10511,16392,2004,2006,2007,2007,720,1169,1175,1190,58,114,441,504,44,86,106,107,1852.6,142298,145030,11275783,31931924,37174423,18128,62046,77144
Yosu,597,426,9254,12490,2005,2006,2006,2007,458,829,875,869,33,74,258,278,24,58,118,94,1700.1,130208,132708,9858326,25645741,30911657,16513,54479,66094
Donghae,530,134,3456,5950,1998,2002,2003,2003,427,730,726,735,38,85,139,142,16,67,77,76,577.3,44211,45059,3753655,8850547,11759614,7082,25544,32248
Busan New Port,518,315,5677,5473,2002,2003,2005,2004,362,1091,593,516,32,142,434,386,13,85,87,85,1025.6,75218,76662,5776729,15077607,17167291,11152,39063,51114
Tongyeong,491,337,4485,6736,2003,2003,2006,2006,450,1088,930,993,25,96,342,404,18,48,93,97,865.0,65629,66889,6491378,15273039,19197148,13221,43475,55138
Jeju,474,145,5017,3869,1998,2001,1998,2000,474,1791,1766,1273,40,181,489,472,19,104,254,248,2271.3,174543,177894,11831389,33447664,34953290,24961,61553,69684
Mokpo,408,246,6279,6387,2002,2003,2004,2005,536,1189,922,848,40,117,607,396,20,58,73,80,1744.0,134205,136782,10176681,28417430,32330627,24943,68303,76838
Incheon,387,160,5054,7884,2003,2006,2008,2008,533,1144,832,829,48,115,239,231,26,67,71,73,826.4,63443,64662,5325511,16011459,17614058,13761,48841,61023
Janghang,349,251,3775,5783,2004,2003,2006,2006,453,875,649,690,41,80,121,115,18,46,52,55,587.7,45103,45969,3676136,9338377,11262461,10533,35233,43328
Pyeongtaek,345,206,3939,4268,2004,2005,2008,2006,476,933,687,766,49,99,144,182,27,80,91,112,598.3,45934,46816,3701843,10728641,13446766,10730,38722,48036
Masan,277,162,1741,1879,2001,2001,2003,2001,351,950,591,679,33,91,124,156,10,45,70,93,369.4,28383,28927,2703367,6540050,8190831,9759,30564,37746
Mukho,227,44,623,1034,2001,2000,2003,2003,400,849,608,603,38,83,101,97,22,150,55,53,175.5,13408,13665,1857254,4233415,5347688,8182,24913,31531
Gunsan,188,160,2399,3562,2002,2002,2007,2007,773,1039,1050,1025,71,115,229,185,10,23,25,27,350.3,26937,27454,2785816,6780062,8576137,14818,51177,64012
Anjeong,161,140,1415,1759,2002,2002,2009,2007,478,892,665,735,43,88,138,145,9,44,33,36,272.3,20458,20850,1855128,4807219,5853596,11523,40011,51364
Dangjin,154,126,4963,6018,2003,2003,2004,2005,788,1202,1693,1537,68,108,555,422,23,56,50,65,557.5,40346,41120,3046627,9673347,10970745,19783,81022,105087
Kwangyang,153,55,1054,1245,1998,2002,2002,2003,205,1935,1000,814,22,172,734,493,13,87,104,96,387.9,29810,30383,2614573,9824814,8438650,17089,44311,52884
Seongsan,149,133,1479,2154,2005,2005,2008,2008,460,1022,642,675,40,109,197,211,9,39,67,67,261.5,19996,20380,2051669,5791045,6691406,13770,44308,55827
Jinhae,145,104,1921,2283,2001,2002,2002,2002,431,1111,1537,1639,35,106,397,408,13,60,860,914,304.2,23311,23759,2403028,5760000,6960411,16573,51438,62840
Tonghae,140,77,1681,2767,2004,2005,2007,2006,477,833,738,749,40,97,195,180,28,55,62,63,230.9,17450,17785,1747282,3978913,5137684,12481,41832,52076
Gohyeon,123,86,1150,1332,2003,2002,2010,2008,606,1241,976,898,57,138,196,221,27,79,542,392,370.3,28044,28583,1845645,4696530,5790863,15005,50286,67711
Hwasun,122,107,1645,2246,2005,2006,2005,2005,466,746,749,716,38,56,169,142,9,29,80,78,189.1,14551,14830,1449077,3720907,4515359,11878,37856,47860
Bupyong/Incheon,73,35,283,479,2000,2002,2004,2004,295,614,560,583,29,84,166,171,21,62,34,34,64.5,4940,5035,539942,1008380,1276818,7396,22857,28487
Suwon,66,47,786,1006,2006,2005,2008,2007,606,913,649,648,58,91,82,87,20,57,43,47,137.4,10594,10798,961147,2528361,3068010,14563,47259,57648
Namwon,57,52,848,1213,2007,2006,2007,2007,636,991,553,616,57,106,180,200,10,28,36,41,119.5,9150,9325,1208721,2581403,3142310,21206,66007,82955
Sokcho,15,14,95,42,1996,1998,2005,2005,324,2372,340,385,32,309,637,794,19,55,25,35,31.7,2432,2478,156129,392235,471027,10409,28131,34372
Bucheon,7,7,19,29,1997,1997,2008,2008,420,372,367,380,60,80,104,103,22,37,76,77,7.5,572,583,32799,91869,119831,4686,15723,20316
