Domestic by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Service - tug,5979,218,311,197,2004,2004,2006,2005,70,164,138,143,29,118,464,439,15,77,105,113,995.5,74748,76184,5030110,11894696,15926355,841,2172,2933
Service - other,3802,190,2800,3444,1999,1999,2001,2001,120,532,474,463,29,170,419,352,12,126,141,106,1964.0,147475,150307,24036285,49317180,53142247,6322,14068,15884
Miscellaneous - fishing,3794,270,1140,716,1985,1987,1993,1992,276,985,778,901,56,198,736,792,57,150,220,230,2862.7,215000,219128,5034477,11167440,12696249,1327,3123,3702
Chemical tanker,2098,786,3714,5852,2006,2008,2008,2008,94,167,167,165,37,79,175,174,27,40,45,45,3039.0,229296,233699,4076057,14774280,17714723,1943,8029,9834
General cargo,1591,745,1004,1336,2002,2003,2006,2006,92,109,146,141,17,46,145,136,22,55,123,105,471.6,35438,36119,1873959,5612915,8027451,1178,4506,6206
Container,1110,292,1493,1727,2007,2007,2009,2009,46,62,61,62,16,40,44,47,12,20,28,28,794.2,59658,60804,1689889,4957584,5574236,1522,4771,5558
Oil tanker,347,208,4313,7658,2008,2008,2010,2010,69,239,302,298,49,126,371,376,33,60,50,50,2031.5,154535,157502,3753646,7432632,8343007,10817,28250,34566
Bulk carrier,186,158,1525,2760,2008,2008,2010,2010,101,247,240,244,50,105,412,417,52,71,64,64,235.9,17849,18192,687091,1831453,2213026,3694,15465,18888
Liquefied gas tanker,151,82,163,174,2007,2008,2010,2010,108,151,142,141,26,49,70,70,23,40,45,45,180.7,13557,13818,112233,363928,384544,743,4270,5736
Ro-Ro,56,11,50,32,2006,2006,2008,2007,77,66,75,74,14,260,19,21,15,16,21,19,50.5,3746,3818,69642,424487,224819,1244,3004,3990
Refrigerated bulk,54,30,175,203,1995,1995,1990,1990,116,459,396,429,12,59,468,484,26,39,33,34,108.4,8184,8341,602107,1315633,1481937,11150,23761,25655
Cruise,43,17,35,6,1943,1969,1994,1986,78,90,68,83,17,21,20,25,54,69,12,32,205.0,15400,15696,54709,161884,215291,1272,3705,4778
Ferry-pax only,35,10,174,90,1940,1954,2005,2005,75,870,5442,5037,31,686,6731,6729,26,133,417,417,81.4,6113,6231,2504344,7026226,9098717,71553,199144,263508
Vehicle,12,12,73,24,2010,2010,2010,2010,89,111,102,100,11,20,23,21,14,13,13,13,6.3,479,489,23851,105156,121781,1988,7555,8131
Ferry-RoPax,6,2,438,49,2007,2003,2014,2014,644,1127,5581,5312,94,87,6182,6057,124,1756,446,571,210.4,15056,15345,302479,748007,917809,50413,107612,98012
Other liquids tankers,5,3,8,9,1996,1994,1999,1998,91,91,92,92,14,18,39,39,89,66,85,85,9.2,707,720,4748,13556,29227,950,3290,5316
