Int. Dep. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
General cargo,9830,1909,46959,64880,2002,2003,2004,2004,473,879,1079,1067,58,103,294,292,27,52,68,68,10574.0,802067,817466,73613780,224570077,321254340,7489,30297,41335
Chemical tanker,8532,1556,136097,220083,2006,2008,2009,2009,404,1622,1464,1507,57,169,346,351,25,49,66,66,28085.8,2139403,2180480,89899775,413911280,487281688,10537,56041,68580
Container,8182,906,373528,389746,2007,2009,2013,2013,300,677,1051,1008,30,55,306,298,17,25,28,28,38386.2,2932815,2989126,174878834,570456881,621304107,21374,78098,93412
Ro-Ro,4080,110,23141,10997,2003,2003,2006,2005,165,434,240,250,13,46,33,36,7,19,15,15,4942.1,372528,379680,12519627,29019026,28408393,3069,7235,7900
Bulk carrier,2204,1358,183980,338853,2008,2010,2011,2011,1181,1983,2137,2170,117,219,382,384,68,106,116,116,13033.5,997187,1016333,83834254,200221168,240477716,38037,138435,166523
Oil tanker,2143,805,260036,479965,2008,2009,2010,2010,837,2745,2333,2384,121,292,606,615,29,73,90,90,25136.9,1922781,1959698,208987594,406270764,457270145,97521,251188,309517
Liquefied gas tanker,1982,276,53433,47912,2007,2009,2013,2012,424,2194,2356,2141,46,184,486,463,22,39,43,44,8100.4,550009,560569,16507000,87968205,79144332,8328,61216,89999
Service - tug,1363,277,662,489,2002,2003,2009,2007,185,655,841,861,62,203,439,439,15,121,156,176,917.4,68986,70310,12515858,29596237,39627761,9183,23711,32014
Ferry-RoPax,1264,19,12153,2207,2001,1998,2002,2004,194,422,218,213,12,127,15,16,8,69,551,550,2081.7,156291,159291,14000661,34512655,42426015,11076,23671,21882
Miscellaneous - fishing,1209,230,1391,1102,1990,1990,1993,1992,483,1034,1342,1450,66,201,569,572,11,54,115,111,1083.5,81480,83044,7747898,17186332,19539119,6409,15082,17879
Service - other,912,236,3320,3923,2000,1999,2007,2007,256,987,721,558,38,274,540,372,9,143,86,79,1260.7,94932,96755,27375376,56168262,60524704,30017,66793,75418
Refrigerated bulk,530,142,12978,13965,1996,1995,1998,1997,1526,2460,2821,2861,130,186,266,268,30,80,63,66,5324.5,405537,413323,41429704,90525916,101968930,78169,166578,179854
Vehicle,491,209,9563,3202,2005,2007,2005,2005,240,351,437,440,22,37,113,109,19,31,29,28,944.7,71830,73209,3242547,14296155,16556405,6604,25102,27015
Cruise,339,94,10027,1039,1997,1995,2006,2004,322,443,447,459,27,61,112,113,10,23,14,14,2444.7,182930,186443,3732828,19449586,22463368,11011,50439,54393
Ferry-pax only,39,13,43,8,1951,1955,1985,1977,258,1049,2470,1579,74,324,527,584,33,39,48,45,39.8,2988,3045,354856,849250,1086079,9099,23090,30498
Other liquids tankers,34,9,2420,2906,2001,2003,2007,2007,1510,2678,3800,3674,126,217,405,401,61,95,97,99,373.1,28798,29351,1490661,4256294,9176568,43843,151889,245436
