int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Oil tanker,167,108,2003,2004,2002,2002,16438402501,29042461949,1632,2459,2798,2852,2011,155615
Container,1290,140,2007,2006,2008,2007,38425011831,47318273421,1442,1528,1505,1499,8482,651208
Chemical tanker,339,192,2007,2008,2009,2009,16428442436,26330709131,1671,2450,2574,2574,2553,197153
Bulk carrier,1269,831,2006,2008,2007,2007,82963622298,142733037792,1632,2506,2386,2382,8557,662078
Service - other,7,5,2009,2010,2010,2009,39482461,38983610,1420,1139,980,998,19,1404
General cargo,489,229,2007,2006,2006,2006,8831774122,11796571868,1366,2015,1914,1888,1810,138810
Vehicle,42,10,2004,2003,2003,2003,2546149301,840916982,1491,2160,2046,2018,228,17664
Liquefied gas tanker,205,52,2007,2006,2008,2008,2533615460,2823006411,1762,1942,1979,1960,679,52087
Service - tug,36,32,2007,2007,2007,2006,73673105,58879984,1558,1799,1583,1610,66,5023
Refrigerated bulk,2,2,1986,1986,1986,1986,106864228,114710761,4581,4581,4655,4656,79,5997
Offshore,7,7,2010,2010,1999,1999,994215941,1857997805,1468,2257,6139,6416,76,5805
Miscellaneous - fishing,1,1,1985,1985,1985,1985,118728174,129783135,9588,9588,9588,9588,17,1283
