dom_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Service - other,56,19,1997,2000,2001,2001,394846289,590923207,141,910,1803,2050,135,10233
Service - tug,603,62,2010,2006,2012,2011,179204993,71592376,418,969,713,636,587,44074
Oil tanker,305,59,1993,2001,2002,2003,1244659064,2116462050,75,1077,404,395,1773,134321
Refrigerated bulk,9,9,1992,1992,1990,1990,8422890,9715183,69,92,97,99,23,1744
Ro-Ro,13,2,1995,1994,2001,1997,2833117,3518299,102,101,198,182,23,1738
Liquefied gas tanker,10,9,2005,2005,2008,2008,979090628,1112793238,49,2263,3697,3573,137,10632
Bulk carrier,29,26,2010,2010,2004,2004,361533251,609709721,56,192,388,378,27,2069
Chemical tanker,105,28,2006,2009,2008,2008,286859184,440433664,72,123,260,252,279,21158
Ferry-pax only,3,3,1968,1968,1971,1962,1136381,474372,81,176,84,102,4,317
Cruise,44,9,1988,1990,1988,1989,72244469,24810738,283,235,352,361,44,3322
Container,40,23,2014,2014,2011,2011,322952119,378071609,51,157,101,103,89,6825
Miscellaneous - fishing,11,8,1996,1994,1984,1981,33730487,31853903,58,3684,3111,4170,16,1218
General cargo,9,8,2008,2010,1997,1997,26118780,33180572,140,154,165,176,9,688
Offshore,66,13,1981,1983,1990,1987,29327974,39896970,180,436,197,256,178,13377
Vehicle,1,1,1996,1996,1996,1996,737147,299675,75,75,75,75,4,334
