int_arr_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Cristobal,841,605,2006,2007,2010,2010,69710875065,90367089469,1475,2183,2393,2309,9354,717006
Rodman,308,227,2005,2006,2012,2012,30983029950,36036425760,1372,3924,2586,2449,4019,300590
Taboguilla,1505,1179,2009,2009,2011,2011,157037752546,229283046208,1767,3181,3254,3075,18399,1400286
Puerto Armuelles,78,57,2010,2010,2011,2011,18194222156,34720929345,2785,2654,3019,3054,1554,119806
Balboa,409,216,2006,2006,2008,2008,45342123848,51097669520,1330,2270,2050,1968,5161,389876
Manzanillo,662,492,2005,2006,2011,2011,42151883500,47774703175,1357,2126,2254,2217,5904,448151
Puerto Colon,304,145,2006,2006,2010,2010,15436133714,16793114643,793,1297,1509,1476,1892,146271
Las Minas,157,101,2005,2007,2010,2011,5135760707,8079877440,1368,1316,1509,1564,797,61255
Bocas Del Toro,11,7,2004,2002,2000,2002,168838893,47111759,635,696,636,560,33,2517
Chriqui Grande,123,68,2009,2009,2009,2009,3981308138,7319298651,427,620,576,576,670,51893
Ancon,107,93,2003,2003,2008,2009,4736691672,6647673512,944,2763,3010,2910,781,59823
Charco Azul,31,28,2009,2009,2011,2011,4680695860,8772355939,2725,2341,2571,2581,411,31765
Portobelo,17,17,1993,1993,2002,2002,683987410,820437071,1215,1712,1791,1811,129,9870
Panama,5,5,2008,2008,2006,2009,702797442,439683253,1894,3531,5274,3492,73,5604
Tocumen,1,1,2003,2003,2003,2003,496181323,160334908,8417,8417,8417,8417,32,2483
Bayano,5,5,2004,2004,2005,2005,55262751,88358497,937,1051,1098,1082,21,1635
Pedregal,14,14,2009,2009,2009,2009,1583058801,2810060834,2779,2535,2557,2559,151,11693
Melones,51,37,2003,2002,2007,2007,1787179137,2923006535,824,2049,1400,1398,396,30550
Garachine,2,2,2002,2002,1993,1994,6003312,966550,822,822,1036,949,3,240
Contadora,16,10,1994,1994,1992,1996,434153038,257548590,613,2175,2685,1603,55,4258
Boca Chica,19,6,1990,1996,2007,2009,313435939,536560932,147,701,1007,1414,34,2619
Vacamonte,27,19,1984,1987,1991,1993,255695256,282532188,3889,7611,3426,2924,267,20137
Almirante,46,9,1993,1998,1990,1989,2114476673,2412979047,4923,2851,3634,3679,667,50900
Panama Canal,6,3,2005,2006,2003,2003,182304419,285375386,1169,2456,1365,1410,31,2403
Canazas,1,1,2008,2008,2008,2008,62153,18646,444,444,444,444,1,48
Achutupu,1,1,1991,1991,1991,1991,7918097,8452686,607,607,607,607,4,293
Santa Clara,1,1,1982,1982,1982,1982,533705,69344,447,447,447,447,2,164
