int_arr_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Point Lisas,1450,425,2008,2008,2010,2010,53762758655,80888364311,815,1902,2151,2224,7438,572743
Point Fortin,187,67,2006,2009,2009,2009,78409997020,63431259986,3699,4617,4309,4305,8978,549220
La Brea,73,69,2008,2008,2012,2011,5260756579,8520382395,1250,2084,2855,2819,549,41390
Chaguaramas,431,303,2007,2006,2008,2007,26433835976,37120421810,1196,2087,2603,2622,3801,280948
Port Of Spain,723,180,2000,2003,2006,2006,13357423458,10304630324,456,1329,954,986,2088,160566
Pointe A Pierre,547,278,2007,2008,2009,2009,23262602661,40578705864,601,2120,2159,2216,3263,251136
Tembladora,86,76,2004,2006,2013,2014,8325938790,15539433364,842,2041,3229,3371,599,46165
Scarborough,61,39,2003,2001,2006,2007,1840219730,1215969259,455,900,590,933,316,24417
Guayaguayare,150,30,1983,2004,2007,2007,1503277451,2572512395,109,1662,1584,1722,250,19229
Charlotteville,12,8,1996,1990,2007,2015,158674660,169039033,132,567,636,1878,19,1505
Claxton Bay,105,18,1977,1982,1978,1978,72236628,98829234,438,386,455,459,32,2368
San Fernando,4,3,1996,2000,1982,1981,9037666,15702415,1277,1170,2319,3146,10,772
Carenage,60,50,2006,2007,2011,2011,4167414263,7428136992,832,1673,2149,2108,414,31830
