Int. Arr. by Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
La Plata,716,587,14045,21943,2009,2010,2010,2011,230,699,665,721,23,81,392,431,10,23,22,21,1421.5,109647,111753,8310255,23602509,28779291,11607,45793,55653
Puerto Madero,516,145,15172,13353,2009,2007,2011,2011,157,542,433,417,23,73,85,92,30,84,35,40,2280.8,176417,179804,10308773,32217842,36466726,19978,68167,78502
Dock Sur,449,202,9674,12181,2007,2008,2009,2009,167,741,489,500,49,105,164,186,35,72,46,49,1434.3,110563,112686,7782410,21130587,24834036,17333,59259,72170
Rosario,385,331,18973,33705,2008,2010,2010,2010,363,1628,1861,1935,38,167,576,588,71,87,93,94,1444.9,111769,113915,9860024,26218409,32104195,25610,104969,127764
Campana,300,178,6185,9805,2008,2009,2010,2010,204,1375,1163,1130,32,139,402,397,54,97,95,96,1201.0,92310,94083,5342484,16206268,19969814,17808,71320,88263
Ushuaia,293,57,2454,492,1994,1995,1995,1994,652,866,671,884,65,153,104,166,12,39,34,67,957.2,73211,74616,3327713,11913824,17470461,11357,39905,56083
Zarate,267,156,6973,5396,2006,2007,2007,2007,291,857,743,850,56,89,181,285,35,56,52,63,721.7,55741,56812,3103376,12286454,14384106,11623,49672,58384
Puerto Alumbrera,263,243,12811,22811,2010,2011,2011,2011,388,1553,1772,1825,44,169,625,635,61,73,72,73,1051.9,81397,82960,6451034,17566527,21465408,24529,102792,125175
Resinfor,233,225,7012,12366,2011,2011,2012,2012,387,917,938,941,76,140,469,475,44,59,67,67,636.6,49251,50197,3371502,9633089,11672635,14470,62890,76752
San Lorenzo,161,142,4157,7390,2008,2010,2011,2011,383,895,1017,1045,40,147,466,478,28,47,61,62,394.5,30462,31047,1935099,5960460,7084640,12019,54486,66744
San Nicolas,132,123,2500,4277,2010,2011,2012,2012,297,711,727,730,44,134,417,420,118,125,146,145,315.0,24325,24792,1351858,3666237,4834926,10241,44249,55104
Escobar,124,118,8738,8139,2010,2010,2009,2009,181,917,1446,1081,20,89,518,515,10,16,29,25,957.8,60466,61627,2094891,11932369,10651226,16894,121829,181407
Quequen,122,111,9448,16390,2009,2009,2010,2010,1241,2713,2946,3012,120,258,550,561,114,141,154,156,848.9,65641,66901,4784531,14229521,17543134,39217,173856,212222
Puerto Galvan,119,101,18391,21932,2009,2009,2011,2011,2087,3763,4769,4399,281,365,561,582,63,83,67,77,1893.9,131518,134043,7221640,29440671,30569996,60686,349734,485818
Bahia Blanca,103,75,9057,12249,2010,2010,2011,2011,2244,2822,2888,2834,178,279,437,483,47,62,65,69,958.2,69764,71104,5445436,17209981,19662538,52868,219236,279373
