Int. Arr. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Bulk carrier,1880,1380,85703,152054,2010,2011,2011,2011,375,1410,1486,1511,41,159,566,576,52,71,90,90,6669.2,516154,526065,42905373,109645564,135754975,22822,93080,113345
Chemical tanker,842,359,12408,20491,2009,2010,2009,2009,250,871,788,799,39,103,340,342,47,56,66,66,2753.5,211859,215927,6496723,34036652,39542184,7716,46929,57100
Container,747,153,23432,26827,2009,2010,2011,2011,228,483,502,504,46,45,89,89,29,36,43,44,2676.3,206939,210912,17973479,51729148,58401849,24061,78244,91306
General cargo,419,189,13312,19190,1999,2007,2009,2009,379,2737,2817,2834,73,240,562,560,24,83,122,123,1724.6,132630,135177,8353476,29502299,43283553,19937,111895,152419
Cruise,377,52,6963,792,1995,1998,2003,2000,633,581,546,577,55,49,69,79,11,19,18,18,2153.0,165755,168937,3534223,16002051,21390764,9375,39173,49369
Service - tug,284,37,82,78,2003,1998,2005,2005,253,702,437,490,57,310,412,473,12,143,290,384,135.0,10142,10337,1999538,4728306,6330946,7041,18180,24546
Oil tanker,187,85,11469,20788,2006,2007,2009,2009,233,2110,2151,2232,62,268,571,578,40,66,64,64,1371.5,105897,107931,11928421,20795216,25400549,63788,160644,197395
Vehicle,171,68,5611,1738,2008,2008,2009,2008,427,548,596,588,53,52,96,95,26,26,34,33,353.6,27394,27920,1759794,7758805,8985487,10291,39117,42098
Liquefied gas tanker,105,71,24533,21196,2010,2011,2011,2011,1469,3777,3677,3614,187,288,490,484,39,53,44,45,2784.3,176681,180073,6194904,37965697,32969216,58999,471795,710460
Ro-Ro,84,15,1021,488,2000,1999,2001,2000,185,447,513,503,41,50,74,74,9,24,36,36,126.7,9752,9939,585567,1589672,1387721,6971,16478,18412
Service - other,80,27,326,258,1991,1997,1994,1998,343,1239,1042,1109,50,254,549,596,28,126,224,286,120.4,9104,9279,1802517,3698370,3985217,22531,50136,56611
Ferry-pax only,43,4,255,66,2005,1995,1991,1987,596,1589,1193,1671,65,92,215,226,8,16,146,197,118.4,9048,9222,1821211,5129189,6643948,42354,118149,156342
Miscellaneous - fishing,33,24,198,155,1989,1991,1996,1996,1513,3681,2808,2935,394,614,858,921,187,633,411,457,117.6,8834,9004,1092108,2422506,2754144,33094,77886,92329
Refrigerated bulk,23,18,1121,1185,1994,1995,1992,1992,5481,4208,4143,4163,318,274,422,423,119,130,144,143,463.0,35217,35893,3514726,7679848,8650626,152814,325645,351599
Ferry-RoPax,15,4,167,13,2005,2004,2005,2005,826,779,875,880,76,66,122,122,12,31,15,14,45.6,3402,3468,80371,198750,243868,5358,11437,10417
Other liquids tankers,2,2,26,37,2015,2015,2014,2014,468,468,472,468,43,43,63,63,18,18,30,30,2.1,164,167,18821,53740,115864,9411,32602,52681
