Domestic by Arr. Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
La Plata,1127,817,5977,10019,2006,2009,2010,2010,232,281,225,229,23,76,64,59,17,34,38,37,1079.9,82853,84444,4516922,12641798,15526644,4008,15228,18601
Dock Sur,791,115,2721,4316,1989,2004,2006,2005,117,629,587,580,19,246,155,149,21,132,132,140,974.2,74355,75783,4271813,10007732,12394288,5401,16420,20367
Zarate,424,116,664,584,1986,2004,2006,2005,81,288,102,116,10,72,49,74,12,66,57,61,239.6,18298,18649,874619,2322408,2725304,2063,6399,7733
Campana,371,128,560,882,1995,2006,2005,2003,82,195,182,183,11,61,125,137,32,86,75,70,439.4,33387,34028,1698273,3792300,4417129,4578,12530,14921
Madryn,333,162,1382,1193,1991,1990,2000,2002,1966,3747,917,822,286,647,370,357,60,392,389,369,1035.0,78110,79610,3250455,8041329,9359133,9761,26322,31321
Escobar,276,211,1126,1960,2005,2009,2011,2011,185,203,178,179,20,49,52,50,6,17,10,10,176.6,13541,13801,1081515,2762322,3391006,3919,13242,16355
Rosario,260,110,876,1398,2007,2008,2008,2008,214,305,190,194,23,71,71,71,33,92,72,76,250.3,19168,19536,1270140,3450009,4042488,4885,15469,18624
Puerto Deseado,251,100,662,679,1992,1991,1999,2001,1667,2648,943,858,283,523,514,430,45,180,215,223,558.7,42111,42919,2209118,5491294,6295463,8801,23377,27974
Mar Del Plata,231,118,688,818,1990,1988,1995,1994,1237,2913,827,701,206,675,675,547,74,357,370,293,586.9,44176,45025,2762167,6735757,7750973,11957,31292,37447
Comodoro Rivadavia,210,62,3461,5625,1998,1991,2005,2005,1041,2700,948,922,106,430,257,215,48,212,86,77,866.6,66424,67699,5350266,10045911,12829465,25477,62773,77208
