Int. Dep. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Cruise,260,65,2650,259,2001,2000,2007,2007,131,196,150,152,14,18,17,18,10,12,12,11,688.8,53277,54300,627849,4262418,5198003,2415,14448,16644
Container,226,41,2467,3029,2007,2007,2008,2008,196,535,520,519,20,39,104,103,13,15,17,17,497.9,38407,39145,2609021,9577593,10542075,11544,43369,51279
Chemical tanker,146,15,427,683,2006,2007,2006,2006,290,801,439,438,29,85,116,115,23,55,35,35,193.2,14670,14951,725596,2198016,2631984,4970,16715,20009
General cargo,104,43,646,801,2005,2005,2007,2007,118,1163,852,772,19,99,196,195,21,56,61,57,161.5,12404,12642,518686,1697433,2446053,4987,24143,32471
Service - tug,89,16,9,6,1978,1991,1988,1987,223,643,339,358,47,279,485,539,28,77,63,64,31.5,2364,2410,166083,392737,525854,1866,4819,6506
Refrigerated bulk,70,17,333,362,2000,1999,2005,2004,136,425,368,364,12,30,80,77,6,9,32,33,146.0,11137,11351,1074455,2347737,2644505,15349,32709,35316
Ro-Ro,58,3,48,35,1992,1998,1995,1994,116,126,121,120,12,14,13,13,9,18,9,9,18.1,1380,1407,116009,863106,414111,2000,4873,6868
Vehicle,46,19,806,232,2005,2006,2009,2009,114,179,419,384,15,19,110,105,8,8,10,10,55.3,4279,4362,234721,1034866,1198480,5103,19395,20873
Oil tanker,37,14,605,1035,2005,2009,2010,2011,554,870,1105,1143,71,149,354,368,33,32,33,33,133.0,10254,10451,784809,1287355,1459872,21211,57529,73775
Ferry-RoPax,37,2,21,2,2006,2006,2003,2003,299,389,689,682,8,10,16,16,12,26,152,150,34.6,2595,2645,72661,157199,209004,1964,4384,6248
Liquefied gas tanker,16,3,11,11,2010,2007,2010,2010,184,174,185,185,16,16,20,20,8,15,12,12,7.5,569,580,8656,25079,27695,541,2962,3895
Ferry-pax only,11,3,1,0,2009,2005,2008,2008,203,268,196,200,7,8,10,11,13,30,25,26,1.8,136,138,10736,21864,27542,976,2270,2992
Bulk carrier,6,6,71,105,2012,2012,2012,2012,530,761,774,818,70,86,156,158,72,66,77,82,9.6,740,755,43048,119503,185731,7175,33801,43808
Service - other,5,3,29,12,2003,2008,2004,2005,479,730,598,622,43,443,415,460,72,51,62,59,9.0,689,702,82338,168940,182043,16468,36643,41375
