,exp_code_str3,exp_name,HS2,description,USD,tonne
0,052,Barbados,27," Anthracite, not agglomerated",78962451.374,382699.867905
1,052,Barbados,22, Mineral and aerated waters not sweetened or flavoured,46019291.622,23520.198179
2,052,Barbados,25," Salt (sodium chloride) including solution, salt water",23035288.897,206726.58160900002
3,052,Barbados,90," Optical fibres, except for telecommunications",9288766.153,81.053156
4,052,Barbados,15," Lard, other pig fat and poultry fat, rendered",8675088.987,4010.5440460000004
5,052,Barbados,48, Newsprint,8669994.472,634.539028
6,052,Barbados,85, Electric motors of an output < 37.5 watts,8131888.2,534.441038
7,052,Barbados,89," Cruise ships, excursion boats, ferry boats",8094700.481000001,1245.952742
8,052,Barbados,30," Glands and other organs, dried, for therapeutic uses",7657230.642,513.763524
9,052,Barbados,19," Infant foods of cereals, flour, starch or milk, retai",7615225.357,2869.705365
10,052,Barbados,38, Artificial graphite,6791599.597,2006.462532
11,052,Barbados,32, Quebracho tanning extract,6722095.861,2471.954569
12,052,Barbados,94," Seats, aircraft",5220910.344,431.769052
13,052,Barbados,71," Pearls natural, not permanently mounted or set",3943006.5609999998,1.65904
14,052,Barbados,83, Padlocks of base metal,3474320.105,955.2771949999999
15,052,Barbados,39, Polyethylene - specific gravity <0.94 in primary form,3285498.12,1265.279993
16,052,Barbados,76," Aluminium unwrought, not alloyed",3248303.5919999997,950.779458
17,052,Barbados,11, Wheat or meslin flour,2971404.274,4163.845844
18,052,Barbados,20," Cucumbers,gherkins, prepared or preserved by vinegar",2568715.943,2074.631502
19,052,Barbados,17," Raw sugar, cane",2538861.114,5065.432877
20,052,Barbados,40," Natural rubber latex, including prevulcanised",2289046.658,250.84178300000002
21,052,Barbados,84, Nuclear reactors,2204075.698,205.616278
22,052,Barbados,21," Coffee extracts, essences, concentrates, preparations",2056336.858,379.317153
23,052,Barbados,87, Pedestrian controlled tractors,1913367.0359999998,191.655464
24,052,Barbados,73, Sheet piling of iron or steel,1695211.238,640.2473699999999
25,052,Barbados,33, Essential oils of bergamot,1599646.628,160.737381
26,052,Barbados,68," Stone setts, curbstones, flagstones (except slate)",1584061.226,6426.009322
27,052,Barbados,16," Sausages, similar products of meat, meat offal & bloo",1439749.449,475.016775
28,052,Barbados,03," Ornamental fish, live",1364709.955,169.51455400000003
29,052,Barbados,23," Flour or meal, pellet of meat or offal for animal fee",1327189.3680000002,2769.715796
30,052,Barbados,72," Pig iron, non-alloy, <0.5% phosphorus",1254768.583,4024.0234609999998
31,052,Barbados,63, Electric blankets of textile material,778546.9260000001,25.04877
32,052,Barbados,49," Brochures, leaflets and similar, in single sheets",704676.162,87.66411000000001
33,052,Barbados,95," Rideable wheeled toys, dolls carriages",529379.628,78.30629499999999
34,052,Barbados,29, Saturated acyclic hydrocarbons,430832.948,226.005326
35,052,Barbados,70," Glass cullet, waste or scrap, glass in the mass",425138.38,657.152688
36,052,Barbados,28, Chlorine,378058.09300000005,485.057709
37,052,Barbados,62," Mens, boys overcoats of wool or hair, not knit",361032.35199999996,23.731536
38,052,Barbados,52," Cotton, not carded or combed",346101.64599999995,129.844629
39,052,Barbados,86," Rail locomotives, externally electrically powered",322205.23,612.8739459999999
40,052,Barbados,34," Soaps, for toilet use, solid",266138.946,51.407272
41,052,Barbados,44, Fuel wood,244810.04499999998,78.962471
42,052,Barbados,04, Milk not concentrated nor sweetened < 1% fat,238178.048,218.22313400000002
43,052,Barbados,74, Copper mattes,151884.534,70.337675
44,052,Barbados,61," Mens, boys overcoats, etc, of wool or hair, knit",144024.15899999999,6.413951
45,052,Barbados,02," Bovine carcasses and half carcasses, fresh or chilled",141453.506,38.096182999999996
46,052,Barbados,47, Mechanical wood pulp,136495.056,545.834634
47,052,Barbados,69," Bricks, blocks and ceramic goods of siliceous earths",133211.88400000002,231.20509
48,052,Barbados,09," Coffee, not roasted, not decaffeinated",86994.87,35.319244
49,052,Barbados,88," Gliders, hang gliders",83624.18600000002,0.955076
50,052,Barbados,55," Filament tow of nylon, polyamides",70626.56199999999,44.332969
51,052,Barbados,96," Worked ivory, articles of ivory",67403.114,14.547721
52,052,Barbados,42," Saddlery and harness, of any material",64004.471000000005,3.2498579999999997
53,052,Barbados,64," Waterproof footwear (Wellingtons etc), metal toe cap",51033.528000000006,3.239718
54,052,Barbados,91," Wrist-watch, precious metal, battery, with hands",46525.417,0.029758
55,052,Barbados,08," Coconuts, fresh or dried",40745.787000000004,37.869035999999994
56,052,Barbados,37, X-ray plates and films,36442.81700000001,1.8124010000000002
57,052,Barbados,35, Casein,32314.714,13.458642
58,052,Barbados,82, Spades and shovels,29559.869000000002,7.170833
59,052,Barbados,36, Propellent powders,27253.21,12.034149
60,052,Barbados,06," Bulbs, tubers, corms, crowns and rhizomes, dormant",24775.93,3.1685869999999996
61,052,Barbados,46, Plaits and products of plaiting materials,20507.37,3.6187549999999997
62,052,Barbados,31," Animal or vegetable fertilizers, in packs >10 kg",18321.908000000003,26.07724
63,052,Barbados,79," Zinc, not alloyed, unwrought, >99% pure",16242.108,9.11098
64,052,Barbados,12, Soya beans,15901.190999999999,3.784605
65,052,Barbados,07," Potatoes seed, fresh or chilled",13292.897,9.176955
66,052,Barbados,93," Military weapons, other than hand guns, swords, etc",12727.651,1.413131
67,052,Barbados,54, Sewing thread of synthetic filaments,10924.028,1.021475
68,052,Barbados,92," Upright pianos, including auto-players",9077.358,0.27709700000000004
69,052,Barbados,57," Carpets of wool or fine animal hair, knotted",6061.602,2.116914
70,052,Barbados,10, Durum wheat,5996.191,1.5940640000000001
71,052,Barbados,65," Hat-forms, etc of felt, not shaped, no formed brim",5422.743,7.831609
72,052,Barbados,56," Sanitary towels, diapers and similar articles",4653.907,0.47592999999999996
73,052,Barbados,01," Horses, live pure-bred breeding",4465.704,1.4144670000000001
74,052,Barbados,66, Garden and similar umbrellas,3971.8370000000004,0.522938
75,052,Barbados,59, Gum or amylaceous covered textiles for book covers et,3592.746,1.365278
76,052,Barbados,67," Bird skins and feathers, articles therefrom",3471.991,1.385429
77,052,Barbados,24," Tobacco, unmanufactured, not stemmed or stripped",2009.8539999999998,0.042983
78,052,Barbados,58," Woven pile fabric of wool or fine animal hair, w >30c",1959.098,0.10149
79,052,Barbados,53," Flax fibre, raw or retted",1880.553,0.023823
80,052,Barbados,18," Cocoa beans, whole or broken, raw or roasted",1576.457,0.045233999999999996
81,052,Barbados,05," Hair, human, unworked, waste of human hair",776.757,0.104531
82,052,Barbados,14, Bamboos used primarily for plaiting,681.241,0.109457
83,052,Barbados,41," Bovine skins, whole, raw",381.077,0.012272
