int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Chemical tanker,9,8,2004,2003,2012,2012,171525679,278573006,1472,1229,1511,1542,180,13600
General cargo,51,33,2004,2006,2007,2007,658323683,919248750,1402,1809,1318,1304,145,11117
Ro-Ro,19,4,1986,1986,1987,1988,86389097,119810940,622,757,824,924,70,5403
Oil tanker,33,12,2000,2002,1999,1999,2048193954,3622963663,544,1246,1375,1385,753,58332
Bulk carrier,14,12,2004,2004,2004,2004,701774105,1182194384,1893,2511,2124,2122,67,5167
Liquefied gas tanker,3,3,1999,1999,2004,2003,30861725,34820162,1807,1841,1832,1831,13,963
Container,35,5,2004,2005,2004,2004,269733422,350373708,469,475,485,482,57,4321
Vehicle,1,1,2000,2000,2000,2000,342797865,126979753,5934,5934,5934,5934,22,1714
Service - tug,3,3,2003,2003,1989,1986,3917732,5748753,1762,1988,2757,3190,6,424
