int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
General cargo,39,14,2010,2007,2009,2008,436404801,569463112,1219,1940,1747,1737,96,7306
Vehicle,13,12,2007,2008,2008,2008,2453862525,791916935,3063,4241,4084,4179,161,12437
Bulk carrier,7,5,1987,1989,1992,1995,119579696,185834061,1384,2255,1554,1419,20,1544
Cruise,171,44,2005,2002,2008,2007,14446227478,1283036317,726,1213,833,841,2708,208011
Oil tanker,2,2,2006,2006,2005,2005,37995127,61626678,1166,1166,1034,1027,9,706
Container,102,3,1996,2001,1994,1995,347301344,388855784,704,764,714,716,123,9350
Chemical tanker,10,9,2006,2007,2007,2007,204350874,334220604,940,1210,1219,1212,57,4358
Service - other,8,5,1991,1994,1992,1990,47344529,24301215,3119,7027,3724,3109,48,3583
Ferry-pax only,3,3,1952,1952,1984,1947,3020129,886740,2029,3559,4005,2134,4,289
Other liquids tankers,1,1,1994,1994,1994,1994,12989197,16774655,854,854,854,854,4,331
Liquefied gas tanker,6,4,2011,2009,2008,2009,226825036,194558462,1240,1438,1786,1754,29,1911
Miscellaneous - fishing,1,1,1996,1996,1996,1996,1366778,654812,1633,1633,1633,1633,2,139
Offshore,2,2,2015,2015,2013,2013,49265399,23811061,3379,3379,4796,4757,16,1183
Ferry-RoPax,1,1,2018,2018,2018,2018,4178146,426179,1328,1328,1328,1328,1,64
