Domestic by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Oil tanker,168,8,2056,3832,2000,2003,2005,2005,211,413,850,878,22,55,444,452,33,40,196,184,544.5,41619,42418,2247269,3387113,3802454,13377,36419,45232
Service - tug,157,20,34,26,1988,1994,2005,2004,172,806,476,423,106,510,926,926,70,135,292,262,101.5,7623,7770,672202,1589556,2128330,4282,11056,14927
Chemical tanker,117,32,383,600,2006,2009,2007,2007,283,283,301,295,31,62,193,182,31,50,102,102,286.5,21663,22079,600669,1858189,2219069,5134,17894,21464
Ro-Ro,108,2,143,147,1991,1999,1991,1991,161,117,177,177,16,12,22,22,10,18,11,11,42.7,3306,3369,157466,290698,338444,1458,3427,3639
Liquefied gas tanker,106,7,828,782,2011,2005,2012,2012,495,446,814,791,32,24,79,78,37,41,71,70,201.8,12980,13229,589954,1709193,1887497,5566,30471,40071
Container,46,9,115,143,2007,2004,2006,2006,169,527,297,308,14,48,50,52,10,18,17,17,32.6,2500,2548,213011,620332,702916,4631,14081,16384
General cargo,33,12,43,52,2004,2006,2005,2006,164,189,185,184,17,31,31,30,21,49,97,82,13.9,1057,1078,77916,231282,323518,2361,9407,12245
Service - other,26,6,36,45,1991,1998,1989,1989,464,1924,1148,1200,111,409,714,914,44,72,911,450,64.2,4821,4914,314233,644738,694744,12086,26893,30366
Bulk carrier,24,18,490,917,2009,2010,1999,1999,172,379,713,772,26,43,132,133,25,65,421,430,42.3,3273,3336,215089,591605,699361,8962,38782,47289
Cruise,22,9,171,15,2004,1993,2008,2007,102,136,105,107,12,17,12,12,14,9,13,12,55.5,4296,4378,89533,326406,328234,4070,13230,12487
