Int. Dep. by Partner,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
United States of America,740,341,31604,33235,2007,2007,2007,2007,1204,1362,1205,1281,98,154,121,152,20,89,41,55,4555.3,349068,355770,17360097,62348681,74808812,23460,99377,121508
Dominican Republic,371,134,5009,5056,2009,2007,2010,2010,466,509,486,483,40,47,46,48,13,37,25,29,732.1,56357,57439,3797000,13005368,14866945,10235,39466,46606
Colombia,277,103,4661,4644,2006,2005,2005,2006,490,579,536,530,40,100,51,56,11,64,17,23,814.8,62922,64130,3892619,12069389,13954923,14053,47895,56752
Cayman Islands,264,41,5905,700,2003,2002,2010,2006,265,278,260,276,16,27,16,21,7,14,8,10,1176.6,91125,92874,636910,7114570,9264841,2413,24615,30988
Haiti,234,57,943,1127,2006,2008,2007,2007,299,395,332,341,28,37,42,46,18,36,27,32,219.5,16840,17163,1284272,3963210,4764292,5488,19689,23723
Mexico,118,54,8441,3375,2009,2007,2011,2008,636,1142,730,1138,40,111,60,128,14,88,53,98,1152.1,89139,90850,2231517,12375608,15546224,18911,107251,133191
Trinidad and Tobago,98,62,2584,3168,2007,2008,2008,2007,1043,1156,1091,1102,92,173,176,194,28,61,70,75,448.4,34215,34871,2024212,6272572,7285030,20655,80785,101220
Guatemala,88,28,1241,1591,2006,2006,2005,2005,744,824,799,805,58,77,63,66,10,17,14,15,269.5,20827,21227,1587807,5022934,5609306,18043,59247,69192
Venezuela (Bolivarian Republic of),79,42,1865,3101,2006,2007,2006,2006,889,1068,1188,1220,94,175,257,267,53,120,136,144,378.7,29174,29734,1679559,4395547,5416498,21260,74102,92608
Cuba,74,40,1606,1624,1999,2002,2003,2005,697,1014,984,1472,48,118,316,503,21,105,59,88,219.0,16904,17228,1371206,3534915,4423459,18530,57347,69020
Costa Rica,64,19,1212,1072,2006,2006,2006,2007,645,753,689,681,44,65,52,50,40,55,40,45,265.3,20485,20878,1089035,4005476,4374446,17016,63643,73204
Honduras,61,22,747,771,2011,2006,2009,2010,718,845,726,784,56,73,63,70,12,29,21,24,174.3,13421,13679,796967,2902372,3227463,13065,50696,59550
Netherlands,59,24,6682,8650,2005,2008,2006,2006,4340,4221,4293,4235,258,328,286,287,27,56,50,52,1253.8,96288,98137,6349290,22830051,25330062,107615,410732,492175
Aruba,50,32,979,365,2006,2006,2007,2006,554,625,575,595,52,61,48,63,6,15,8,11,146.3,11295,11512,410949,1854590,2177161,8219,36473,42165
Russian Federation,47,17,37974,41534,2009,2009,2009,2009,8655,7640,8487,8349,630,585,638,638,43,99,46,47,3000.2,232351,236812,18699837,54711944,64148112,397869,1464821,1730534
Sint Maarten (Dutch part),45,9,1026,541,2007,2007,2010,2007,849,1041,1490,904,64,78,111,73,10,21,10,12,220.0,16937,17262,440629,2315539,2831647,9792,53684,67873
Bahamas,45,27,2399,659,2008,2007,2010,2008,749,735,789,817,43,76,53,97,9,30,12,24,424.5,32867,33498,543582,3114372,4072886,12080,68511,85859
Brazil,43,41,2965,4222,2007,2007,2007,2007,3239,3346,3195,3148,286,314,303,308,47,78,73,77,508.6,39057,39806,2345782,7724561,9212995,54553,227797,279362
Panama,42,33,411,579,2006,2006,2007,2006,583,650,644,651,59,129,140,136,38,89,68,69,115.3,8801,8970,559976,1572979,1869822,13333,44837,54775
Puerto Rico,40,16,384,313,2005,2001,2004,2007,680,706,724,695,67,84,59,68,14,35,17,25,80.7,6184,6303,458872,1370932,1566079,11472,36906,42644
Canada,34,22,1894,2940,2009,2009,2009,2008,2500,2653,2555,2596,222,260,272,276,52,109,102,105,239.5,18341,18693,1512108,4154921,5127496,44474,166696,203140
Curaçao,23,12,3006,2382,2005,2005,2000,2000,1205,3031,6405,6870,124,222,1530,1541,61,182,28,31,528.7,32528,33153,872966,4809572,4360271,37955,248714,367493
Ecuador,22,10,736,936,2007,2006,2006,2007,1403,1371,1403,1404,135,123,130,131,9,18,17,16,110.2,8511,8674,534627,1650544,2104482,24301,99642,126561
Norway,21,20,2102,3273,2012,2011,2012,2012,4454,4503,4496,4497,388,415,415,415,67,86,86,84,219.8,16982,17308,1402788,3295626,4655410,66799,260378,322236
Belize,18,10,552,124,2004,2006,2004,2005,698,788,806,803,54,58,54,63,30,41,14,38,119.8,9265,9443,324144,1151665,1256220,18008,60788,64726
Virgin Islands (U.S.),11,11,271,446,2006,2006,2007,2007,837,993,1037,1045,64,91,107,106,25,34,39,39,37.5,2874,2929,219476,668988,817055,19952,78818,97835
Martinique,11,10,191,192,2006,2007,2008,2006,983,1054,1041,1078,103,105,96,106,14,44,38,48,29.7,2286,2329,162173,639827,755238,14743,62989,77131
Guyana,10,10,131,201,2008,2008,2008,2008,1422,1541,1525,1528,138,194,212,212,64,82,115,120,24.2,1856,1891,215358,562195,747907,21536,80923,102599
Turkey,10,8,1097,1507,2007,2007,2006,2006,5702,5041,2480,2011,480,423,456,464,4,8,10,9,125.5,9713,9899,775310,2029260,2797207,77531,298218,372132
Iceland,10,9,756,1185,2009,2010,2010,2010,3765,3831,3840,3836,344,374,378,379,136,186,195,190,80.9,6247,6367,490938,1313344,1951740,49094,219765,281913
United Kingdom of Great Britain and Northern Ireland,10,10,895,1072,2006,2006,2006,2006,4315,4028,3222,2719,364,369,362,380,8,47,39,50,100.8,7763,7912,611375,1731264,2326755,61137,233166,285237
China,8,8,2672,3835,2012,2012,2011,2011,9985,9912,9734,9767,892,881,836,856,100,130,110,121,284.7,22044,22467,1694503,3950019,4911436,211813,741961,883522
Singapore,8,8,5037,6808,2012,2012,2013,2014,11851,8906,9212,8725,777,682,855,891,20,27,20,19,385.1,29835,30407,2829196,7278902,8332460,353649,1167843,1381108
Gibraltar,6,6,468,776,2007,2007,2007,2006,4044,3456,2421,2269,348,301,362,363,10,10,12,12,56.8,4388,4473,467871,1038894,1442281,77979,256866,326054
Portugal,6,6,437,687,2008,2008,2007,2007,3440,3881,4232,4334,294,344,419,427,20,62,65,63,70.0,5333,5435,494639,1255022,1526076,82440,284136,343537
Peru,6,4,242,317,2009,2008,2008,2008,1981,1977,1986,1986,184,175,177,178,54,58,65,64,34.4,2651,2701,148060,538117,722173,24677,127339,167762
Turks and Caicos Islands,6,4,121,16,2005,2002,2006,2006,448,448,452,452,36,64,34,37,12,81,12,16,26.1,2022,2060,88390,338233,356033,14732,50292,49496
Spain,6,6,557,804,2009,2009,2009,2008,4167,4045,3075,2729,338,330,341,320,10,46,69,56,66.4,5117,5215,429729,1271592,1586970,71622,325755,418595
"Bonaire, Sint Eustatius and Saba",6,6,146,253,2007,2007,2011,2011,761,754,733,728,74,102,99,99,44,66,64,59,21.1,1635,1666,75924,305955,366603,12654,64624,81051
France,5,5,322,425,2008,2008,2012,2011,4354,4329,4323,4331,386,378,374,385,54,57,69,76,49.0,3784,3857,261875,771052,964368,52375,202068,247109
Ghana,5,5,290,442,2007,2007,2006,2005,4931,5007,4974,4965,547,587,567,559,101,86,89,90,50.0,3845,3919,174321,553465,837657,34864,184465,245690
Sweden,4,4,425,652,2010,2010,2010,2010,4751,4743,4742,4742,420,420,422,422,4,4,3,3,43.2,3326,3390,280204,652599,916617,70051,270338,333644
Belgium,4,4,331,438,2011,2011,2011,2011,4282,4349,4292,4295,359,342,313,321,6,20,13,12,51.4,3968,4044,305752,861831,1116906,76438,285174,353529
Uruguay,4,4,299,430,2002,2002,2002,2002,5206,5209,5206,5209,449,429,448,457,62,115,129,136,54.0,4148,4228,320183,810817,1094573,80046,275829,340587
Barbados,4,4,49,68,2006,2006,2006,2005,1067,1065,1061,1061,88,92,91,92,114,106,96,96,13.2,1008,1027,62936,207552,253321,15734,59821,73888
Saint Kitts and Nevis,4,4,40,26,2007,2007,1999,2008,955,992,1029,992,88,88,87,89,28,66,44,91,12.2,931,949,45653,189381,249670,11413,49225,61494
