Int. Arr. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Container,1347,151,70594,79808,2008,2007,2008,2008,749,1286,1975,1886,59,93,337,328,20,33,27,27,10152.1,784290,799348,48427799,150944762,172981340,35952,129174,152779
Cruise,411,61,32685,2895,2007,2002,2010,2009,700,702,693,702,40,101,54,55,8,12,8,8,5976.2,461512,470373,3140137,39236974,50213645,7640,84481,104352
General cargo,388,140,4917,6668,2007,2006,2007,2007,1025,1372,1290,1310,100,141,211,212,24,57,54,57,878.6,67342,68635,5166551,16435492,23358901,13316,61996,81534
Bulk carrier,280,195,10573,18274,2007,2009,2007,2006,1057,1425,1518,1545,104,203,300,300,48,84,69,69,1029.3,79359,80882,5854199,14826894,19473600,20908,85756,105687
Chemical tanker,250,168,7206,11935,2009,2009,2009,2009,1244,1560,1420,1419,105,142,219,220,36,39,50,51,1303.6,100431,102359,4162961,20644375,24061644,16652,95480,116128
Vehicle,130,72,18029,6376,2006,2007,2005,2005,1021,3077,2707,2878,84,221,429,440,10,11,12,12,1075.7,83307,84906,6456653,28466915,32967589,49667,188783,203171
Oil tanker,123,85,13270,24794,2006,2006,2008,2007,965,1771,2355,2405,106,214,665,676,30,58,57,57,1266.5,97802,99680,9996178,17376841,20109689,81270,208409,259566
Liquefied gas tanker,103,40,3629,3550,2004,2006,2009,2009,1239,1692,2145,1996,99,151,402,371,19,35,42,40,632.0,44868,45730,1569881,6814588,6511393,15242,100618,142707
Ro-Ro,52,3,1261,706,1992,2004,2012,2010,311,4059,2668,1635,29,349,867,795,46,30,10,13,129.1,9999,10191,758739,1402529,1631236,14591,34296,36419
Service - tug,40,32,31,24,1990,1995,2000,2001,1115,1256,1463,1434,218,374,445,425,43,179,139,121,56.7,4256,4338,613789,1451425,1943380,15345,39623,53498
Service - other,8,7,90,65,2003,2002,2009,2008,1198,2231,2775,2508,480,589,663,754,426,498,1008,976,39.6,2974,3031,456434,936501,1009137,57054,126955,143350
Refrigerated bulk,8,7,35,37,1996,1995,1998,1998,227,516,504,485,28,44,72,70,10,18,15,15,19.1,1454,1482,109117,238425,268564,13640,29066,31382
