int_arr_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Xinying,33,30,2002,2002,2006,2006,1300842087,1592429878,1135,1908,2684,2683,161,12399
Sanya,61,59,2005,2006,2008,2009,7054421611,12155954541,1259,2643,5360,7310,626,48356
Ningbo,2,2,1991,1991,1994,1995,523858009,964545206,11788,11788,5393,5177,58,4444
Baimajing,25,25,2005,2005,2004,2003,887813075,1504631477,737,1801,2063,2052,93,7185
Yangzhong,45,41,2007,2008,2017,2017,4935981651,8870088341,709,3292,5106,5578,546,42212
Gaoming,84,15,1996,2002,2002,2003,77810294,78077727,158,160,186,176,22,1698
Xiaotang,11,5,2007,2008,2011,2011,13811078,21667734,82,336,582,571,3,241
Taishan,3,3,1996,1996,1991,1992,8157135,5308345,3442,3214,2670,1686,7,490
Guandong,24,22,2007,2008,2002,2003,75334582,94897527,586,1385,538,496,57,4334
Xingdong,13,8,2018,2018,2018,2018,3035012,1904457,1439,1941,1345,1522,20,1506
Jinguzhou,427,33,2010,2007,2004,1995,142843859,88121682,332,628,453,462,155,11637
Xiangzhou,25,16,1999,2002,1986,1985,100085870,170948729,149,510,642,646,76,5718
Shanwai,229,158,2005,2007,2009,2009,17435531146,26854506533,1255,2563,2582,2942,1742,134590
Huangxian,7,7,2002,2002,1999,1999,24422998,41050508,145,283,251,255,4,307
Tongling,40,25,2003,2005,2010,2011,1319653254,1717254145,206,512,1207,1118,132,10187
Haimen,19,12,2007,2009,2011,2011,2403636600,4437368626,90,1911,4857,5092,152,11727
Donghai,24,24,2006,2006,2009,2009,219034393,313114662,276,1019,1055,1015,39,3027
Yangzhou,60,44,2008,2008,2011,2011,1830542778,3013646820,184,1632,1460,1515,196,15128
Pizhou,15,15,1995,1995,1990,1991,93077101,87173130,1044,1256,1256,1158,26,2000
Yangkou,101,73,2009,2010,2011,2011,48897717385,39961895927,3602,4245,5153,5096,5308,360309
Changdao,45,39,2003,2003,2003,2003,970419816,1385474979,1262,2487,1414,1396,214,16390
Raoping,2,2,1985,1985,1985,1985,10924,14701,10,10,9,9,3,206
Houzhu,20,10,2005,2005,2003,2004,26032707,37570167,200,359,328,326,7,509
Weizhou,98,92,2009,2009,2010,2010,4449764088,6557687339,1390,1240,1792,1597,483,34598
Pudong/Shanghai,137,37,1997,2004,1997,1999,1668554895,684673210,774,1072,676,654,791,60529
Gulei,110,89,2007,2007,2009,2009,3917726955,6320104169,1555,2466,2288,2279,580,44712
Dongshan,20,16,2004,2006,2013,2012,601299018,838718213,632,1239,2098,2034,90,6872
Longhai,12,10,2003,2002,2009,2010,251670719,413429093,424,2595,1799,1912,39,2973
Anpu,77,68,2012,2011,2015,2014,11725384060,12438987755,1505,2149,2974,2501,1186,77005
Huangyan,33,28,1993,1993,2000,2002,118193816,179953376,877,918,1269,1396,23,1751
Nanhai,3,3,2004,2004,2004,2004,134665085,204593227,1369,2315,4639,4596,18,1426
Fengcheng,13,9,2008,2004,2003,2003,916465950,1816050682,145,1995,5549,6397,47,3619
Dagu Tanggu,8,7,1996,1998,1995,1999,21367363,23772073,84,439,484,465,10,775
Binyang,19,19,2005,2005,2006,2007,328989962,528701371,1103,1232,1068,1001,44,3342
Shunde,32,5,1995,2001,1995,2001,57020041,8222687,1569,1090,2593,958,70,5281
Zhongshan,189,22,2003,2002,2006,2009,128668116,104589939,383,396,408,256,101,7615
Shilou,38,13,2003,2006,1999,1999,351943700,406124918,315,1198,1756,2086,44,3331
Badong,13,9,2008,2007,2008,2008,120227023,201471969,415,640,397,392,22,1714
Chuzhou,1,1,2014,2014,2014,2014,1277603,1837925,577,577,577,577,2,115
Anqing,16,14,2006,2005,2015,2014,202517120,285810712,231,660,706,615,35,2628
Xinzao,14,9,2007,2008,2004,2004,1395325283,2673520981,398,854,1745,1919,78,6071
Wuhan,80,28,2004,2007,2008,2008,1053532656,1874210537,74,744,428,457,86,6684
Shipai,9,7,2007,2007,2008,2008,15913021,22995067,77,310,186,177,3,266
Huangjiang,2,2,2012,2012,2003,2003,16043274,28217550,298,298,475,494,2,190
Fuyong,22,12,2008,2008,2009,2009,215452044,366119047,387,518,585,590,25,1953
Jiangmen,17,14,2012,2011,2003,2004,29625700,37995434,62,372,415,411,9,673
Yuhuan,30,27,2005,2004,2003,2003,782130926,1371678305,1033,2380,1929,2067,108,8276
Guzhen,53,13,2012,2009,2003,2003,543754791,982111079,215,725,2673,3044,66,5063
Dashihuagang,22,11,1991,1996,2002,2003,295398945,532074458,152,558,1627,2068,53,4108
Sanzao,7,7,2005,2005,2006,2006,37967923,51340374,917,970,954,972,12,898
Rui An,16,15,2000,2001,2004,2005,127452247,177475154,659,1013,1027,999,28,2130
Huaiyin,14,10,2001,1999,1996,1997,35106940,55702607,165,248,180,174,5,355
Baimao,1,1,2008,2008,2008,2008,1020737436,1928204271,6383,6383,6383,6383,61,4760
Baiyang,42,22,2008,2007,2007,2007,1532746341,2708063715,315,1165,1383,1437,115,8868
Fuling,18,10,2010,2008,2010,2013,212827268,328523014,93,725,684,643,18,1365
Anting,12,5,2008,2006,2012,2013,233792821,409030912,837,1375,1391,1372,32,2484
Ezhou,12,9,2003,2005,2018,2018,6760197942,13125593511,150,4852,24876,26170,43,3330
Tongxiang,15,9,2003,2001,2004,2003,15426124,22407693,195,293,238,238,4,306
Ankingcheng,9,9,2009,2009,2010,2010,525015660,901646441,302,2067,1777,2039,59,4552
Longguan,1,1,2012,2012,2012,2012,14333863,18188656,781,781,781,781,2,179
Xiangtan,4,3,1986,1993,2000,2000,46385831,84029478,112,637,1039,1186,9,701
Gongming,2,2,2004,2004,1996,1996,10148364,16162531,1212,1212,1673,1708,10,736
Nanchang,15,6,2009,2010,2014,2015,299205473,558382271,145,316,425,442,23,1778
Jingzhou,8,5,2010,2009,2010,2010,254219799,466173457,124,421,1071,1101,20,1515
Hongwan,26,11,2001,2002,2001,2001,1565862021,2914932979,112,1342,4315,4743,88,6815
Defeng,2,2,1996,1996,1980,1980,34691339,36508139,4269,4269,3961,4223,17,1290
Shanshan,1,1,1985,1985,1985,1985,269913,33739,964,964,964,964,2,187
Zhuliao,1,1,2008,2008,2008,2008,23012,22122,0,0,0,0,0,7
Hengli,2,2,2004,2004,2008,2008,1824981,2996887,94,94,110,114,0,37
Chencun,3,3,1996,1996,1983,1982,3213595,4830270,212,248,262,289,1,72
Foshan,1,1,2010,2010,2010,2010,498455,587973,113,113,113,113,1,62
Cixi,3,3,2007,2007,2013,2013,87566179,153243294,730,1021,1159,1156,14,1083
Zhaogang,1,1,2007,2007,2007,2007,21756112,37612006,1886,1886,1886,1886,5,380
Lu'An,1,1,2006,2006,2006,2006,1358834,1440569,5108,5108,5108,5108,2,128
Bacao,1,1,2011,2011,2011,2011,1113154665,2099467240,7064,7064,7064,7064,50,3895
Zhangjiabian,2,2,2002,2002,1993,1997,1549344,158229,1544,1544,1575,526,2,178
Linhai,2,2,2006,2006,2007,2007,127141682,208853050,2110,2110,3011,2978,14,1068
Jurong,1,1,2018,2018,2018,2018,414316620,770697504,9396,9396,9396,9396,20,1580
Sanming / Shanming Shi,1,1,2011,2011,2011,2011,56997798,88232396,2575,2575,2575,2575,7,547
Kaifeng,1,1,2018,2018,2018,2018,305786254,350432091,9315,9315,9315,9315,44,3399
Wanxian,2,2,2004,2004,1999,1998,3459248,5294823,146,146,116,113,1,42
Lianzhou,2,2,2008,2008,2008,2008,19987575,27439193,485,485,326,262,4,302
Shangyu,1,1,1998,1998,1998,1998,1511387,2431297,65,65,65,65,0,26
