int_dep_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Da Chan Bay,168,77,2006,2007,2006,2006,15324303663,17282944659,1482,1766,1646,1665,1839,142451
Ningbo,3,3,2004,2004,2006,2006,640398745,1241585094,2868,2773,2469,2467,31,2403
Donghai,35,34,2006,2006,2006,2006,194431159,265746850,361,929,419,374,50,3866
Tongling,65,45,2003,2004,2008,2009,882030013,1431120724,413,805,666,758,116,8814
Haimen,19,9,2005,2008,2009,2009,123518025,164831818,153,969,428,336,32,2474
Jurong,4,4,2016,2016,2014,2014,11481253,17977620,292,574,380,841,4,266
Pizhou,15,15,1995,1995,1990,1994,190679998,193343388,1338,2610,2572,2568,78,5919
Yangkou,102,71,2008,2010,2012,2012,32513583364,26114454818,2395,3121,3329,3285,3335,220078
Hongwan,32,17,2005,2008,2004,2004,464712047,769046123,125,1207,1203,1153,54,4153
Guzhen,32,11,2014,2009,2007,2006,85055143,145596854,181,321,658,687,14,1083
Longhai,8,6,2006,2005,2010,2010,61471233,105264492,206,328,559,576,9,707
Gulei,93,73,2007,2007,2012,2012,2062725870,3352433616,929,1331,1480,1481,312,23992
Gaoming,62,8,1995,2006,2003,2007,36675172,33918268,162,260,228,225,19,1426
Nanhai,2,2,1998,1998,2004,2004,59991282,90653438,1681,1681,2305,2329,7,564
Fengcheng,13,8,2009,2006,2004,2004,360294246,597434776,720,2890,2411,2204,47,3611
Sanzao,9,9,2005,2005,2013,2013,281344729,451628902,331,1909,4532,4791,46,3536
Jiangmen,17,15,2007,2006,2006,2006,74561099,94787021,482,703,642,665,17,1296
Zhongshan,201,25,2003,2002,2001,1999,192015585,198255687,465,993,1066,1373,120,9025
Huangyan,8,8,1996,1996,2005,2005,71300751,91579660,947,1033,1402,1431,14,1108
Shilou,41,18,2003,2005,2007,2007,333429273,331159963,415,605,1320,1132,39,2997
Badong,15,10,2005,2003,2006,2007,188626874,283198315,168,389,554,533,23,1804
Dongshan,22,19,2003,2005,1998,1999,111417149,143763447,321,567,385,381,36,2752
Anqing,23,17,2004,2002,2011,2011,355884415,650581357,315,455,783,820,34,2586
Xinzao,14,9,2006,2005,2005,2004,869619585,1483133881,574,832,1166,1171,73,5649
Lu'An,1,1,2010,2010,2010,2010,3181400,4296837,249,249,249,249,1,42
Ezhou,28,24,2005,2006,2009,2010,118280241,184767302,283,572,430,444,22,1709
Xiaotang,5,5,2007,2007,2002,2002,5430257,9856750,111,117,108,111,2,143
Dashihuagang,23,14,1996,2003,2017,2018,1214670536,2257861574,327,1291,1979,2028,67,5196
Huaiyin,12,10,2007,2007,2004,2004,210274942,370975825,342,545,799,806,24,1866
Wuhan,79,22,2003,2007,2008,2008,520176313,897195139,69,862,231,239,56,4307
Shunde,33,7,1995,1998,2001,2011,35033821,26223782,941,489,311,143,33,2489
Xiangshan,13,7,1993,1999,1994,1994,1097805158,1371005158,1052,10974,14685,13077,150,11444
Wenzhou,11,11,2003,2003,2004,2004,393231653,611552626,2478,2997,1715,1536,80,6093
Cixi,5,5,2002,2002,2001,2001,51189025,81370517,716,996,784,751,10,736
Fuyong,22,11,2008,2007,2009,2009,122140431,207205593,165,417,348,349,20,1541
Binyang,28,27,2005,2004,2007,2008,856514950,1452958727,1718,2043,2005,2059,118,8997
Linhai,5,5,2006,2006,2007,2007,79456883,143225721,441,646,344,417,9,708
Baimao,3,3,1998,1998,1995,1998,181366905,269720425,1307,7377,929,757,22,1723
Rui An,13,12,1993,1994,1994,1994,301604044,507078310,1374,2104,2115,2162,34,2579
Baiyang,35,18,2009,2008,2010,2010,571800413,1010830598,380,354,635,668,47,3593
Fuling,22,13,2011,2010,2005,2005,410086085,710352310,82,894,1001,992,32,2489
Anting,13,5,2007,2006,2005,2006,106077452,185875525,370,632,548,534,12,952
Tongxiang,16,12,2006,2006,2008,2008,248563011,450995572,247,913,1853,1987,21,1641
Xiantan,1,1,2011,2011,2011,2011,28284836,55339194,305,305,305,305,1,90
Ankingcheng,12,11,2007,2006,2005,2007,22667768,33727744,178,491,238,215,10,727
Hengli,3,3,2007,2007,2014,2014,169665983,295789243,1159,2185,4128,4291,9,728
Longguan,1,1,2012,2012,2012,2012,4603030,5840919,251,251,251,251,1,68
Xiangtan,7,3,1978,1993,2001,2001,44442907,78870785,281,679,985,1107,6,495
Gongming,2,2,1992,1992,1989,1990,9116997,9202921,1268,1268,1003,750,4,341
Shipai,10,10,2006,2006,2012,2012,47094149,63980290,463,561,416,388,8,611
Nanchang,14,5,2009,2007,2009,2009,301371122,534761711,153,199,613,615,49,3809
Jingzhou,10,10,2008,2008,2006,2006,265290210,397745562,186,3712,1473,1294,27,2106
Xiangzhou,22,12,2002,2004,2010,2011,299725198,565748844,273,1493,2340,2464,53,4025
Yongfu,1,1,2006,2006,2006,2006,52228652,59996336,554,554,554,554,9,683
Shanshan,1,1,1985,1985,1985,1985,195395,24424,698,698,698,698,1,104
Jieyang,3,3,2001,2001,1999,1999,22771931,26687868,677,701,476,488,4,315
Shangyu,2,2,2003,2003,2010,2010,217311058,380133410,4052,4052,5740,5741,21,1627
Lanxi,1,1,1991,1991,1991,1991,8267608,2908260,802,802,802,802,1,96
Chencun,2,2,2008,2008,2007,2007,783900210,912050742,8569,8569,15611,15592,91,7035
Shiwan,1,1,2010,2010,2010,2010,735674,867795,167,167,167,167,1,92
Foshan,1,1,2014,2014,2014,2014,5649962,10557649,1884,1884,1884,1884,3,200
Zhangjiabian,2,2,2002,2002,1996,2005,1419676,255398,1425,1425,1443,848,3,195
Wanxian,3,3,2000,2000,2008,2008,20358075,34615302,177,211,265,311,2,125
Raoping,1,1,1986,1986,1986,1986,93119,128601,188,188,188,188,0,2
Huangjiang,1,1,2003,2003,2003,2003,19884316,35211810,663,663,663,663,0,9
Anqiu,1,1,2012,2012,2012,2012,2626889,3757564,351,351,351,351,0,34
Lianzhou,1,1,2008,2008,2008,2008,3642583,4484941,201,201,201,201,1,57
Yingkou,1,1,2011,2011,2011,2011,316983,558131,106,106,106,106,0,14
Cangshan,1,1,2009,2009,2009,2009,46195290,82312766,750,750,750,750,4,337
