int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Bulk carrier,67,57,2008,2008,2008,2008,3247947049,5360025936,1195,2154,1903,1860,354,27327
Ro-Ro,66,13,2004,2004,2005,2005,1019665768,515482384,344,818,937,920,160,12299
Container,395,128,2008,2008,2008,2008,33915107726,41669550564,1850,2259,2100,2120,4422,342334
Vehicle,12,7,2006,2006,2008,2008,790912664,270367684,959,1454,1324,1391,53,4110
Service - tug,235,55,2009,2008,2008,2008,212553522,188985675,286,695,414,401,189,14283
Oil tanker,125,116,2011,2011,2011,2011,103012187373,197851962451,7488,5786,5989,5989,4952,383518
Offshore,261,71,2010,2009,2000,1999,1148804634,1579665860,192,1185,1270,1532,408,30751
General cargo,380,72,2007,2007,2008,2007,1705549684,2367082689,284,1182,703,704,436,33422
Chemical tanker,73,40,2008,2008,2007,2007,1757644394,2818641601,1148,1553,1713,1724,426,32743
Service - other,19,11,2007,2006,2009,2008,169619966,94540158,554,1282,1225,1189,82,6240
Liquefied gas tanker,14,8,2012,2013,2013,2013,248665910,282457708,643,1711,1568,1564,54,4139
Miscellaneous - fishing,8,6,2002,2003,1996,1996,11100671,4115200,339,995,2065,1673,9,647
Refrigerated bulk,10,4,1990,1996,1988,1988,57276057,47835428,903,1296,1441,1263,37,2833
Ferry-pax only,1,1,1983,1983,1983,1983,202210,34833,452,452,452,452,0,13
