dom_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Offshore,1508,35,2011,2009,2012,2011,442967467,442667541,69,261,130,112,496,37255
Service - tug,736,28,2011,2009,2010,2009,205501191,210595459,67,167,126,133,123,9293
Liquefied gas tanker,2,2,2012,2012,2013,2013,797462,880953,68,68,68,68,1,93
Chemical tanker,15,6,2008,2009,2010,2010,49378311,71792279,128,106,316,303,30,2244
Miscellaneous - fishing,78,4,2002,2002,2002,2001,20492990,18762729,565,484,945,1023,39,2924
Oil tanker,3,2,2010,2008,2009,2009,58984032,115919819,163,182,182,182,9,667
Service - other,147,3,2014,2015,2014,2014,6309709,2930890,117,106,138,139,34,2564
Container,7,7,2007,2007,2007,2007,23905100,29629176,79,83,82,82,5,422
Refrigerated bulk,2,1,1986,1986,1986,1986,885930,662225,148,148,148,148,3,254
General cargo,1,1,2010,2010,2010,2010,261577,379183,49,49,49,49,0,4
