int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Bulk carrier,67,57,2008,2008,2009,2009,3294755986,5452782218,719,2031,1930,1892,323,24939
Container,395,128,2008,2008,2009,2009,25621508885,31448395158,676,1852,1587,1600,3374,261251
Ro-Ro,66,13,2004,2004,2004,2004,385743369,197405153,300,340,354,352,89,6807
Vehicle,12,7,2006,2006,2012,2012,1058953521,341835368,672,2210,1773,1759,71,5473
Oil tanker,125,116,2011,2011,2011,2011,84241560551,161889597781,5219,4891,4898,4901,5136,397754
Service - tug,235,55,2009,2008,2009,2009,225312895,198692206,221,690,439,422,162,12185
Offshore,261,71,2010,2009,2010,2009,931321295,1347998123,175,1178,1030,1308,335,25243
Chemical tanker,73,40,2008,2008,2007,2007,3026747458,4935335108,1330,2673,2950,3019,543,41810
General cargo,380,72,2007,2007,2008,2008,1386931682,1885264191,264,975,571,560,378,28897
Liquefied gas tanker,14,8,2012,2013,2015,2015,712377559,817185810,843,3119,4492,4525,100,7726
Service - other,19,11,2007,2006,2010,2010,323239698,177122682,264,1298,2335,2227,165,12668
Miscellaneous - fishing,8,6,2002,2003,1996,1996,12941451,4688849,466,1106,2408,1906,10,717
Refrigerated bulk,10,4,1990,1996,1990,1992,99752962,93243677,840,1897,2510,2462,77,5810
Ferry-pax only,1,1,1983,1983,1983,1983,207613,35763,464,464,464,464,0,27
