dom_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Container,10,2,2016,2016,2016,2016,38629326,45925699,207,207,210,210,10,763
Service - other,18,4,1999,1996,2001,2003,17388186,11599026,379,594,965,1173,24,1834
Bulk carrier,306,57,1996,1998,1996,1996,2206569914,3629097238,329,341,411,410,385,29305
General cargo,29,11,2002,2004,2000,2000,83444294,126599209,210,239,318,322,32,2388
Cruise,15,7,1993,1996,1997,1996,53544809,8290549,234,254,232,234,20,1500
Oil tanker,2,2,2000,2000,2006,2006,6480223,10100050,209,209,205,205,2,146
Service - tug,19,3,2002,2004,2002,2002,10960853,7832365,613,9656,2209,1668,38,2826
Refrigerated bulk,1,1,1989,1989,1989,1989,771363,951667,141,141,141,141,2,188
Chemical tanker,10,6,2013,2013,2013,2013,62096655,102907765,205,211,207,207,13,1000
Miscellaneous - fishing,3,2,1995,2000,2000,2009,1123422,1231734,331,339,326,368,5,399
Ro-Ro,14,1,2009,2009,2009,2009,3481652,6413340,236,236,503,503,38,2884
