int_dep_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Noro,166,83,1999,1999,1997,1997,6891302541,11119304188,3145,2934,2862,2886,835,64295
Honiara,297,161,2006,2006,2005,2006,5548120094,6606253674,1186,4977,1477,1431,1446,110353
Rannell Island,24,11,1998,1998,1998,1998,3248825303,6060010798,3852,3798,3536,3536,270,20905
Gizo,10,7,2001,2002,2002,2002,1075962301,1953083217,3507,2606,2760,3241,108,8383
Aola Bay,7,7,1992,1992,1994,1994,51230335,81205333,1713,2241,1550,1704,48,3588
Ringgi Cove,8,6,2005,2004,2004,2004,220137664,362954571,3122,3945,3586,3574,48,3668
Nemba,2,2,1994,1994,1991,1989,1423924,423498,403,403,402,428,2,183
Kirakira,1,1,1997,1997,1997,1997,4267945,7063464,246,246,246,246,1,43
Tulagi,1,1,2006,2006,2006,2006,125644,138432,320,320,320,320,1,40
Viru Harbour,2,2,1995,1995,1996,1999,5146706,5852578,306,306,231,191,1,87
Choiseul Bay,4,4,2005,2005,2011,2011,18389809,28310440,321,695,345,326,4,282
Yandina,3,3,1995,1995,1999,1999,42231499,70130360,690,2162,1639,1655,16,1211
Lever Harbour,5,5,2000,2000,2001,2001,297158439,478020899,3290,3444,3457,3459,36,2804
