Int. Dep. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
General cargo,1070,404,3610,4170,1988,1992,1994,1994,289,801,879,765,55,104,217,199,42,74,67,71,821.0,62682,63886,6472448,19202121,27159878,6049,23257,31210
Container,757,84,5503,6505,2003,2002,2003,2003,271,409,358,358,26,38,55,55,21,34,30,30,1269.4,97716,99593,7583060,22432135,25138230,10017,30999,36004
Ro-Ro,531,19,2073,1307,1979,1991,1990,1989,127,1095,446,419,14,332,100,110,13,34,33,33,597.3,45853,46733,1786634,6490008,4650438,3365,8001,9405
Chemical tanker,415,199,5066,8032,2008,2008,2007,2007,594,889,858,864,74,133,288,302,35,51,57,57,1281.5,98684,100579,3282358,15382430,18262850,7909,42875,53017
Oil tanker,301,131,15574,27643,2008,2007,2008,2008,641,1860,2307,2344,101,238,539,535,28,101,122,125,2178.8,168059,171286,15567664,30903845,34511383,51720,139220,171094
Ferry-RoPax,227,4,392,125,1981,1982,1981,1981,113,280,346,279,12,24,165,143,13,21,181,143,169.0,12793,13038,1012124,2414032,3025742,4459,9641,10234
Bulk carrier,195,106,3031,5157,1999,2000,2004,2004,466,1143,1228,1248,52,144,310,312,61,96,97,95,353.0,27184,27706,2294802,5710842,7857749,11768,46433,58256
Liquefied gas tanker,165,50,2165,2183,2000,2004,2006,2005,631,1294,1483,1366,89,134,248,244,30,83,95,106,596.5,43771,44611,1214879,4403180,4467209,7363,44490,61034
Cruise,103,25,971,138,1984,2000,1995,1991,218,388,392,389,18,30,48,49,10,18,17,17,364.3,28172,28713,400888,2745624,3511697,3892,22836,26587
Vehicle,103,34,2929,1001,2004,2006,2007,2007,290,695,593,592,21,51,77,76,11,11,15,15,198.8,15393,15688,1013309,4467604,5173941,9838,37394,40244
Service - tug,81,38,91,83,2003,2001,2005,2004,516,1003,832,819,98,438,556,594,32,335,304,302,104.6,7869,8020,2126319,5028105,6732361,26251,67784,91520
Service - other,37,17,396,410,1991,1994,1997,1994,321,950,2230,1956,35,291,888,528,49,95,1311,1593,137.9,10595,10799,2863871,5876035,6331783,77402,172232,194475
Refrigerated bulk,24,3,28,32,1980,1988,1988,1988,83,1269,390,416,22,109,209,215,18,261,479,498,46.7,3516,3584,93731,204807,230696,3905,8322,8986
Ferry-pax only,15,3,3,0,1999,1994,1992,1992,138,921,422,511,24,284,843,702,19,78,50,57,6.4,478,487,26110,53175,66984,1741,4048,5336
Miscellaneous - fishing,4,3,1,0,1980,1985,1973,1975,390,491,637,588,97,113,232,211,22,82,264,234,2.4,183,187,2792,6194,7042,698,1643,1947
