Domestic by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Oil tanker,73,15,166,301,1992,2004,2003,2003,121,218,262,266,74,70,126,122,19,41,78,78,163.0,12291,12527,297216,299522,345038,4071,10776,13469
General cargo,62,47,124,177,1988,1989,1992,1991,127,343,513,516,18,26,50,54,20,33,69,71,27.6,2118,2158,208121,630654,886474,3357,14030,18323
Liquefied gas tanker,48,16,222,260,1998,1999,1996,1996,140,193,525,532,45,75,330,331,11,23,19,18,65.0,4979,5075,167912,543754,574847,3498,20084,26974
Chemical tanker,27,18,163,247,2006,2007,2006,2006,149,480,421,410,36,71,191,189,19,26,76,76,44.9,3452,3518,158195,587861,701353,5859,24688,30096
Service - tug,26,12,7,4,2005,2002,2009,2005,138,426,361,274,101,563,2580,2040,24,134,153,168,25.9,1946,1983,107564,254356,340569,4137,10683,14423
Miscellaneous - fishing,24,2,3,2,1992,1998,1992,1992,546,573,1165,1162,82,96,186,186,28,20,444,443,9.5,717,731,13069,28991,32959,545,1282,1519
Bulk carrier,21,15,177,289,1990,1993,1992,1993,429,777,721,717,26,65,161,160,20,30,63,63,25.0,1931,1968,177934,456082,650142,8473,33932,43459
Service - other,15,2,4,3,1963,1956,1964,1964,355,386,454,455,108,463,432,455,22,257,145,156,18.0,1351,1377,23874,48984,52783,1592,3542,3999
Container,8,6,41,48,2002,2001,2000,2001,267,287,294,294,14,20,30,30,8,11,11,11,6.6,510,520,46503,158540,180198,5813,21333,25582
Ro-Ro,7,2,4,3,1978,1977,1978,1978,108,109,125,123,11,16,16,17,13,20,28,28,3.6,270,275,10575,81531,38474,1511,3687,5256
Cruise,3,2,9,1,2006,2005,2003,2003,71,90,122,123,10,11,14,14,10,14,10,10,3.8,294,300,8869,31324,31426,2956,9335,8790
Ferry-pax only,1,1,2,0,1992,1992,1992,1992,6094,6094,6094,6094,175,175,175,175,421,421,421,421,2.9,218,222,38606,78624,99042,38606,89776,118354
Refrigerated bulk,1,1,0,0,1979,1979,1979,1979,58,58,58,58,96,96,96,96,68,68,68,68,2.4,177,181,466,1018,1147,466,993,1072
