Int. Arr. by Partner,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Turkey,1416,400,5736,8376,1986,1998,2000,2002,195,722,564,657,22,86,127,129,19,51,69,73,1291.1,98937,100837,7737756,23817249,27071027,5465,18390,23468
Greece,798,235,6767,7995,1998,2000,2001,2002,552,793,641,696,46,85,100,115,18,56,63,80,1574.2,121048,123372,7975799,23157592,27280223,9995,34236,41846
Israel,634,110,1932,1938,1997,1997,1995,1997,181,483,280,309,20,120,150,184,20,59,30,36,578.3,44120,44967,3418244,8800012,10672098,5392,16733,20504
Lebanon,275,119,927,1193,1995,1995,2000,1999,139,364,213,239,15,66,187,234,10,29,35,41,221.0,16970,17295,991816,3343251,4087115,3607,14504,18332
Egypt,235,139,1404,1614,2001,1999,2001,2000,284,654,410,433,29,179,143,162,16,73,32,39,314.4,24061,24523,2138790,6392592,7861909,9101,30990,38913
Italy,174,106,2723,3847,2003,2002,2005,2005,1212,1220,1212,1210,99,127,116,119,21,48,34,37,482.2,37173,37887,3330087,9854810,11769610,19138,65433,79639
Spain,65,56,2357,3324,2003,2003,2006,2006,1860,1984,2031,2087,161,180,208,220,51,60,60,63,439.0,33927,34579,2523853,7566915,9049386,38829,143303,176727
France,60,19,8529,10088,2004,2004,2004,2004,2993,2033,3029,3020,192,169,196,195,19,34,19,20,1064.4,82237,83816,8205792,20036705,22257976,136763,371420,422995
Belgium,49,8,7531,8255,2006,2006,2007,2007,3296,3342,3247,3246,220,248,212,212,14,24,16,16,2171.0,167489,170705,6509439,17370455,19553432,132846,391569,453091
Russian Federation,36,32,729,1259,1997,1996,2006,2007,1266,1541,2457,2675,157,181,317,335,65,71,31,27,114.4,8708,8876,815293,1978734,2509795,22647,76902,99515
Malta,30,29,638,1067,2005,2005,2006,2006,967,1256,1127,1111,108,143,154,149,30,41,29,29,87.0,6690,6818,860360,2103805,2568079,28679,91276,114586
Syrian Arab Republic,29,23,189,269,1994,1991,1990,1989,153,717,552,605,22,249,488,495,8,22,33,33,33.3,2538,2586,249558,689008,891400,8605,29842,38028
Tunisia,16,16,274,366,1998,1998,2001,2000,1447,2031,1487,1557,154,186,174,181,35,120,138,142,50.6,3874,3948,379349,1173971,1583848,23709,94307,123661
Togo,14,1,8,8,1979,1979,1979,1979,115,115,215,215,44,44,227,227,4,4,10,10,25.3,1899,1935,24084,52625,59277,1720,3666,3958
United Arab Emirates,13,11,828,1467,2005,2006,2008,2008,2995,2544,2229,3416,262,279,391,400,6,18,12,12,90.2,6952,7086,852477,1908550,2347385,65575,194987,247309
Ukraine,13,12,78,113,1994,1995,1994,1994,1180,1250,1216,1222,139,186,170,175,33,60,57,52,27.0,2053,2092,171764,473013,632555,13213,49997,64623
Romania,13,12,137,217,1995,1994,1994,1994,955,1336,1872,1947,128,186,216,217,49,52,92,94,26.0,1991,2029,188366,507031,723848,14490,57300,74890
Gibraltar,13,13,613,930,2008,2008,2010,2010,1932,2000,2020,2033,158,160,162,165,61,72,73,76,69.7,5389,5493,345249,1106011,1426321,26558,129336,162399
Libya,12,9,218,327,2000,2000,2001,2002,1036,1259,1078,1080,84,119,102,102,53,147,72,73,57.7,4460,4546,253977,683096,782698,21165,72332,86347
China,12,3,9,11,1996,1994,1998,1998,112,965,655,916,20,352,875,937,38,29,10,6,4.7,352,359,38003,104405,146986,3167,9808,13855
United Kingdom of Great Britain and Northern Ireland,11,8,1014,1200,2005,2006,2007,2009,3119,3389,3528,3754,254,272,269,283,12,21,16,18,175.3,13535,13795,875354,2060446,2393334,79578,223826,267976
Saudi Arabia,9,9,480,362,2008,2008,2010,2009,987,1066,1006,1034,90,122,107,128,4,9,6,9,44.2,3421,3487,261073,877306,1005586,29008,102193,115972
Bulgaria,7,7,57,92,1997,1997,2002,2003,935,924,926,926,94,94,92,91,99,84,80,79,11.6,895,912,107978,293077,389048,15425,54483,69501
Indonesia,6,4,410,120,1993,2000,2016,2015,251,1518,4650,3289,25,140,370,364,26,30,8,9,18.3,1413,1440,128941,546156,635574,21490,79729,86735
Croatia,6,6,110,169,1996,1996,1998,1998,1567,1803,1978,2036,167,172,183,186,16,36,43,44,21.0,1610,1641,91141,303260,407513,15190,71069,92151
Portugal,6,5,150,195,2006,2004,2006,2006,2334,2509,2678,2674,224,216,204,204,34,87,57,62,40.5,3119,3178,233237,759968,957978,38873,141361,183925
Netherlands,6,6,764,1065,2007,2007,2008,2008,3311,3132,3040,3075,242,237,225,237,18,33,28,29,148.1,11435,11655,677341,1802989,2044730,112890,338895,405678
Jordan,5,5,108,35,2004,2004,2005,2007,645,677,679,672,75,90,75,98,8,8,7,7,17.4,1342,1368,44163,197057,245873,8833,36395,41492
Singapore,5,5,1534,832,2013,2013,2014,2012,5283,5342,5349,5350,387,437,405,473,6,9,7,10,87.0,6737,6867,656618,2242080,2605116,131324,457766,509386
Oman,5,5,355,147,2004,2004,2006,2003,2569,2570,2617,2526,193,193,195,193,6,7,7,7,51.7,4005,4082,181944,593006,746986,36389,122026,136579
Slovenia,4,3,147,52,1995,1993,2002,1999,1267,1532,1264,1299,82,101,82,86,4,29,6,11,11.7,901,918,62767,253385,305580,15692,57592,66455
India,4,4,541,982,2003,2003,2004,2004,3464,2782,3558,3556,273,252,302,304,8,13,11,10,55.0,4260,4342,417582,855168,972089,104396,277812,344027
Brazil,4,3,562,868,2016,2016,2016,2016,6088,5984,6015,6018,497,494,493,492,96,112,100,99,55.9,4318,4401,359214,971009,1338489,89804,395202,506701
Algeria,4,3,78,95,2012,2012,2012,2011,1632,1641,1634,1660,127,122,124,129,49,119,103,115,22.2,1699,1732,119116,340123,413041,29779,97223,115555
Djibouti,4,4,375,192,2011,2011,2012,2010,1640,1649,1656,1640,120,124,121,128,4,4,4,4,26.4,2041,2080,185422,681551,784424,46355,163364,180619
Sweden,3,3,580,1066,2009,2009,2011,2012,3913,4974,4403,4347,336,409,394,388,28,48,60,62,59.0,4549,4636,638415,1420613,1601928,212805,617336,729286
Norway,3,3,119,172,2005,2005,2004,2003,3731,3729,3745,3748,316,334,321,319,37,41,60,63,28.7,2186,2228,441012,1059206,1344120,147004,419289,543419
Malaysia,3,3,569,980,2016,2016,2016,2016,5253,5228,5223,5222,481,481,480,480,14,11,12,12,45.1,3493,3560,192585,1121587,1291121,64195,465163,571105
Morocco,3,3,35,61,2002,2002,1994,1994,2443,3270,4614,4636,404,390,510,509,94,95,92,92,14.0,1071,1092,49389,151762,218207,16463,69838,96466
United States of America,3,3,698,1247,2009,2009,2008,2007,6798,7006,7054,7079,571,581,587,590,37,38,33,32,71.7,5540,5646,580585,1661628,2058418,193528,721601,897228
Yemen,2,2,55,92,2004,2004,2009,2010,1877,1877,1533,1508,329,329,215,201,20,20,13,12,6.3,484,493,57129,133608,174478,28564,99949,120443
"Korea, Republic of",2,2,1143,937,2012,2012,2018,2018,5159,5159,9670,9466,377,377,699,699,38,38,52,52,85.0,5314,5416,223650,1643738,1375226,111825,994290,1543884
Ecuador,2,1,0,0,1979,1979,1979,1979,87,87,87,87,148,148,220,220,30,30,23,23,5.1,383,390,1396,3051,3436,698,1488,1606
Sudan,2,2,168,47,2016,2016,2016,2016,1100,1100,1100,1099,102,102,102,102,6,6,6,5,6.4,493,503,47521,209515,242640,23760,90313,97197
Sri Lanka,2,2,163,268,2013,2013,2014,2014,3778,3778,3778,3778,292,292,301,302,9,9,11,12,28.0,2166,2207,595258,1412375,1541935,297629,778427,894626
"Moldova, Republic of",2,2,11,15,1985,1985,1983,1985,2142,2142,1708,1582,110,110,111,109,116,116,130,114,3.6,274,279,36632,105950,149995,18316,64669,88284
Iran (Islamic Republic of),1,1,273,510,2010,2010,2010,2010,3255,3255,3255,3255,309,309,309,309,23,23,23,23,20.2,1565,1595,186632,351668,396158,186632,490088,592035
Trinidad and Tobago,1,1,525,422,2003,2003,2003,2003,5617,5617,5617,5617,389,389,389,389,121,121,121,121,104.9,6285,6406,98216,733818,609345,98216,888330,1380352
Ireland,1,1,39,44,2012,2012,2012,2012,3070,3070,3070,3070,237,237,237,237,33,33,33,33,6.4,489,498,16724,61065,90163,16724,100065,136648
Seychelles,1,1,9,2,1960,1960,1960,1960,3309,3309,3309,3309,274,274,274,274,29,29,29,29,4.6,350,357,7836,44255,96227,7836,45269,87490
South Africa,1,1,23,15,1987,1987,1987,1987,5060,5060,5060,5060,666,666,666,666,126,126,126,126,5.7,431,439,105939,217363,234221,105939,235731,266174
Latvia,1,1,278,517,2009,2009,2009,2009,4703,4703,4703,4703,528,528,528,528,63,63,63,63,22.3,1713,1746,267395,563108,620097,267395,656759,820871
Iraq,1,1,88,30,1976,1976,1976,1976,3557,3557,3557,3557,267,267,267,267,9,9,9,9,11.4,880,897,51289,150449,207479,51289,205475,259080
