Int. Arr. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
General cargo,1063,400,3566,4822,1988,1992,1995,1996,316,972,864,887,53,125,232,245,36,59,84,92,843.3,64340,65575,7367446,21896036,31079632,6931,26501,35882
Container,756,84,20800,23931,2003,2002,2004,2004,527,936,1356,1318,41,72,174,173,14,13,17,17,4334.2,334344,340764,21667589,58271585,65050510,28661,83338,95932
Ro-Ro,533,19,2297,1416,1979,1991,1994,1993,156,962,490,450,16,75,111,105,11,20,10,10,531.4,40927,41713,1918931,6863441,4967591,3600,8558,10029
Chemical tanker,409,195,5885,9401,2008,2008,2009,2009,597,1030,1023,1038,62,112,188,191,28,45,49,49,1214.6,93584,95381,3617100,17404271,20563933,8844,49363,60851
Oil tanker,304,138,9160,16273,2008,2007,2008,2008,592,1205,1303,1321,58,136,263,264,33,47,55,52,1292.4,99482,101392,9947049,19765879,22151356,32721,90947,110981
Ferry-RoPax,227,4,291,103,1981,1982,1980,1979,136,189,256,228,15,14,62,51,12,18,46,41,113.6,8624,8790,825629,1970554,2468896,3637,7863,8325
Bulk carrier,203,110,3105,5127,1999,2000,2002,2002,315,1223,1181,1161,56,137,256,253,27,61,96,97,365.7,28217,28758,2577944,6123838,8274613,12699,47432,58911
Liquefied gas tanker,160,48,2781,2643,2000,2004,2009,2008,560,1293,1998,1732,56,142,477,452,13,37,63,60,573.9,40914,41700,1216422,5113865,4936037,7603,49378,69625
Cruise,104,25,902,124,1985,2000,1997,1992,207,566,364,349,21,47,61,59,8,32,10,10,265.6,20523,20917,344617,2542434,3391288,3314,20883,25251
Vehicle,103,34,3921,1259,2004,2006,2010,2009,322,889,793,745,30,68,194,181,5,6,5,5,222.0,17194,17524,1274764,5620341,6508928,12376,47042,50628
Service - tug,83,35,89,80,2003,2001,2005,2005,349,1249,740,713,82,526,592,529,23,161,216,201,114.5,8599,8764,2041723,4828059,6464511,24599,63519,85762
Service - other,38,17,270,302,1991,1994,1996,1995,714,1360,1514,1423,433,414,450,494,55,104,68,54,113.0,8598,8763,2108267,4325701,4661205,55481,123454,139397
Refrigerated bulk,24,3,14,15,1980,1988,1983,1983,131,194,200,199,31,44,148,148,14,8,17,17,39.0,2933,2990,44823,97939,110320,1868,3980,4297
Ferry-pax only,16,4,4,1,1997,1986,1991,1991,173,1277,611,840,30,198,306,219,64,183,314,257,9.6,718,732,53689,109342,137737,3356,7803,10287
Miscellaneous - fishing,4,3,1,1,1980,1985,1974,1977,654,706,771,749,108,168,378,333,36,138,111,96,3.6,269,274,3556,7888,8968,889,2092,2480
