Domestic by Dep. Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Port Melbourne,2149,513,50216,48351,2005,2008,2006,2006,530,725,643,662,38,69,71,68,20,36,26,30,6086.3,468478,477473,40098059,110768688,127146519,18659,56216,64710
Botany,1125,342,29944,36044,2007,2008,2007,2007,582,665,617,618,42,70,71,77,27,44,32,32,4118.7,318454,324569,28469132,73779899,82320082,25306,73636,85391
Devonport,928,48,5384,2697,2002,2007,2002,2004,239,603,265,340,16,134,32,77,9,50,20,43,1493.1,112889,115056,4897177,12346110,14954114,5277,13135,13406
Chermside,849,464,25016,25075,2008,2008,2007,2007,571,799,722,861,42,103,142,216,24,39,37,49,2968.5,229421,233826,16841976,50607412,58470922,19837,65676,77422
Adelaide,709,331,31252,31028,2006,2008,2007,2008,724,952,1012,1065,76,81,93,100,24,47,48,62,3499.7,270923,276124,23421869,64810361,73563167,33035,101082,115842
Port Kembla,624,418,19342,17969,2008,2009,2008,2009,564,670,660,803,42,71,118,193,19,54,93,169,1433.5,110858,112986,8341140,28281320,33596981,13367,49535,56727
Melbourne,593,64,6664,2004,2000,2005,2000,2005,239,567,352,416,12,117,42,120,11,64,19,31,1801.7,139003,141672,5098804,15631416,18792967,8598,23865,24195
Fremantle,549,297,42545,37219,2007,2007,2007,2007,1472,1479,1620,1670,108,140,121,127,22,42,29,37,4733.7,366023,373050,31246176,87655713,99743805,56915,169687,193990
Gladstone,461,234,23006,36374,2008,2010,2010,2010,756,1369,1468,1390,71,183,393,382,42,105,89,100,2332.3,172589,175903,9479784,30304851,33729591,20564,94607,121782
Newcastle,460,306,20892,36516,2009,2010,2010,2010,703,1332,1532,1711,72,220,637,678,40,84,104,109,1862.6,143784,146544,10039581,26535821,32520931,21825,83093,102064
Cairns,447,96,4082,3117,2003,2006,2003,2008,572,1059,947,1299,62,191,238,430,15,66,38,50,943.2,72420,73811,3286999,15145185,16499856,7353,30543,38081
Port Adelaide,433,83,2390,3571,1991,2008,2005,2007,47,911,561,610,7,105,139,133,4,78,154,160,362.3,27849,28384,1760471,4796524,6648058,4066,17131,22045
Burnie,421,80,2692,1980,2001,2008,2002,2006,225,449,284,325,16,68,37,55,10,75,31,48,662.4,51248,52232,1601406,4322940,5238388,3804,12562,14310
Geelong,386,216,7617,12904,2011,2010,2009,2009,599,978,1004,1033,58,130,212,212,33,69,65,65,952.2,73327,74735,6745619,16770495,19810074,17476,56085,69675
Withnell Bay,342,60,4817,5067,2011,2010,2009,2009,188,1258,2272,2466,23,134,910,852,17,94,45,53,789.8,54886,55940,8741202,23545726,28983689,25559,81166,111244
Weipa,329,49,7922,13978,2007,2009,2010,2010,643,813,929,928,85,126,130,130,42,100,74,74,769.6,59341,60481,3319864,11098399,11262945,10091,43186,53513
Darwin,300,112,4300,2822,2010,2010,2009,2010,542,2438,1402,1144,86,335,350,335,18,190,106,97,1080.5,82046,83621,7319741,21664757,25799603,24399,73558,94158
Mooloolaba,300,197,947,932,2008,2008,2006,2008,60,116,114,106,7,19,65,89,25,40,38,50,287.7,22132,22557,1241369,3314181,3726453,4138,12131,13926
Townsville,294,210,6259,6454,2008,2010,2009,2011,701,874,768,834,54,87,117,152,30,45,41,56,823.9,63552,64772,4319641,13476254,16917514,14693,55300,67125
Dampier,293,70,6458,6386,2012,2011,2009,2009,112,975,1062,1165,25,199,449,503,16,74,226,186,766.5,51396,52382,4317443,15212575,16301824,14735,59972,85712
Klein Point,282,2,119,109,1982,1996,1990,1985,46,306,64,52,7,24,17,10,8,12,14,14,26.2,1995,2033,217656,516831,620398,772,2357,2917
Brisbane,279,142,4868,4482,2007,2010,2004,2011,602,789,732,834,54,128,92,121,24,70,36,54,964.8,74459,75888,3865900,12808161,15401698,13856,52331,61023
