Inventory,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
All Global Voyages,2658748,54999,81267189,114150482,2003,2002,2009,2009,366,1368,1510,1787,41,222,402,445,19,84,69,77,9296550.7,707533846,721118495,52903800409,144910309539,167566454198,19898,67929,83365
All International Voyages,1229088,41343,71953337,102531468,2004,2004,2009,2009,668,1826,2058,2439,67,229,428,472,22,79,69,77,7386879.1,561972490,572762361,42427448654,117844885887,135247567982,34519,120548,148093
All Domestic Voyages,2658748,54999,81267189,114150482,2003,2002,2009,2009,366,1368,1510,1787,41,222,402,445,19,84,69,77,9296550.7,707533846,721118495,52903800409,144910309539,167566454198,19898,67929,83365
Int. Arr. Inventory,16647,5678,3786760,6199572,2010,2010,2010,2011,3649,3804,3722,3750,300,347,378,383,49,90,104,109,262633.8,19680275,20058137,1624332333,4473071252,4971555058,97575,351710,435820
Int. Dep. Inventory,16441,5627,3942640,6552724,2010,2010,2010,2011,3821,4090,3936,4035,341,383,440,460,46,76,82,89,296287.5,22195294,22621444,1674482847,4550251401,5075565153,101848,365428,451673
Domestic Inventory,19014,2393,459410,552586,2006,2009,2008,2009,512,1069,884,1034,42,147,277,346,22,70,67,84,58547.7,4454500,4540027,314500311,914362026,1049266717,16540,55678,67341
