int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
General cargo,1053,338,1983,1986,1987,1988,4041287941,4659817435,631,997,1079,1001,1074,81781
Vehicle,153,92,2006,2008,2009,2008,21812679718,7367481889,1505,2975,2707,2689,1248,96622
Container,945,181,2004,2006,2012,2012,77807026313,86855076885,308,1331,1776,1734,7920,612995
Chemical tanker,243,145,2006,2006,2008,2008,5626255705,8959133483,762,1163,1119,1127,1211,93566
Bulk carrier,192,129,2001,2002,2006,2006,4626544467,7770874991,834,1367,1379,1385,540,41695
Ro-Ro,131,16,1984,1996,1993,1992,959975522,579904685,622,1018,824,798,322,24559
Oil tanker,68,48,2005,2005,2005,2005,3377818931,5749002150,1039,1800,2033,2065,547,42292
Liquefied gas tanker,54,15,2006,2007,2007,2007,288931647,327917856,656,797,775,771,102,7826
Service - tug,7,6,1989,1992,2003,2002,11337716,9003612,1069,3493,2080,1907,31,2364
Cruise,18,2,1988,1982,1989,1988,75591497,11951302,422,292,530,521,79,5958
Refrigerated bulk,1,1,1994,1994,1994,1994,10185751,11555432,998,998,998,998,19,1451
Offshore,5,2,1986,1998,1990,1988,1447382,1833852,203,251,232,246,3,238
Service - other,3,2,1991,1990,1990,1990,11594226,4989344,638,874,854,864,3,251
Ferry-pax only,1,1,1964,1964,1964,1964,24816,4259,27,27,27,27,8,576
Ferry-RoPax,1,1,1980,1980,1980,1980,447592,78729,258,258,258,258,27,2045
