dom_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Bulk carrier,10,8,2005,2007,2006,2005,129016249,210908205,664,641,616,619,18,1410
General cargo,71,6,2007,2002,2006,2006,162900923,228358491,338,433,420,419,57,4333
Refrigerated bulk,2,1,1986,1986,1986,1986,8638747,10079741,902,902,902,902,27,2018
Cruise,41,7,1986,1990,1999,1997,385087313,44807178,207,222,278,275,97,7478
Oil tanker,82,2,2015,2014,2014,2014,307580319,442227253,465,459,781,779,181,13692
Chemical tanker,15,3,2009,2009,2009,2009,48185422,65952343,523,573,576,583,32,2401
Service - tug,2,1,2010,2010,2010,2010,1152236,653932,2142,2142,2142,2142,9,642
Container,29,9,2002,2001,2000,2000,151920306,199031839,360,320,356,353,40,3085
Service - other,1,1,1973,1973,1973,1973,776662,357993,552,552,552,552,0,34
Ferry-pax only,105,1,1997,1997,1997,1997,12929786,12528862,185,185,477,477,22,1681
Ro-Ro,54,1,1995,1995,1995,1995,6221753,9071717,196,196,248,248,60,4482
