int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Bulk carrier,84,69,2012,2012,2010,2010,6679380991,11534312199,1374,3079,2588,2569,598,46272
Vehicle,36,31,2009,2008,2009,2008,4325886761,1410338135,1396,1934,1924,1941,262,20274
Chemical tanker,40,25,2009,2009,2009,2009,1680000424,2694981044,1300,2178,1932,1925,264,20393
General cargo,94,30,2007,2005,2006,2005,814415351,1111792825,745,1391,1308,1318,191,14710
Container,276,53,2004,2003,2005,2005,6838948879,8544623721,865,1371,1165,1164,1111,85591
Refrigerated bulk,6,5,1993,1995,2009,2009,243633367,271420527,640,3641,5372,5240,141,10680
Liquefied gas tanker,15,7,2013,2012,2016,2016,430334330,485649470,957,2091,2444,2435,72,5521
Cruise,36,12,1992,1996,1998,1996,786313559,93385407,633,676,606,606,235,18138
Ro-Ro,10,3,1990,1998,1983,1984,10790225,7556587,356,387,359,366,13,996
Oil tanker,19,7,2010,2010,2010,2010,1729891963,3015383482,2894,1785,2849,2874,214,16543
Miscellaneous - fishing,11,10,2005,2004,2004,2003,116951401,96253300,5918,8636,9792,9861,100,7541
Service - tug,4,3,1998,1999,1995,1995,3840137,1332670,967,3731,2991,1993,19,1445
Service - other,4,3,1981,1983,1996,1993,15155364,5933976,2962,3395,2676,2552,9,715
Ferry-pax only,1,1,1997,1997,1997,1997,266592,258326,1033,1033,1033,1033,0,19
