int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Bulk carrier,683,354,2004,2008,2009,2009,25871844676,45703404142,861,1767,1757,1776,2361,182307
Oil tanker,169,46,2008,2009,2008,2008,4101401388,7543898416,322,930,872,905,784,60148
General cargo,1330,438,1994,1998,1999,1999,5821384067,7426752353,429,909,891,838,1482,113071
Chemical tanker,382,133,2007,2007,2006,2006,4557148107,7367642732,711,1343,1164,1184,1190,91414
Container,1485,219,2005,2006,2007,2007,65547681894,73161993459,685,1069,1147,1163,8752,676512
Vehicle,190,40,2002,2003,2003,2002,13105969721,4397926724,863,1752,1589,1547,826,63988
Refrigerated bulk,3,3,1993,1993,1994,1994,148581454,167214551,5639,5658,6148,6121,59,4460
Service - other,36,12,1987,1987,1986,1986,101207505,144552015,676,986,810,791,92,6908
Offshore,87,23,2006,2005,2004,2004,771104552,644939357,216,1966,970,863,227,17074
Service - tug,26,16,1992,1992,2004,2002,16977352,15870065,447,1152,774,664,27,2006
Cruise,109,29,1987,2001,2000,1997,1754468901,211446652,316,680,603,520,498,38531
Liquefied gas tanker,47,27,2007,2007,2005,2004,4168231685,3907652526,1207,2690,2842,2941,477,32283
Ro-Ro,114,9,1984,1997,2001,2000,1035163309,587144627,249,929,514,488,192,14782
Miscellaneous - fishing,2,1,1968,1968,1968,1968,989834,331026,811,811,811,811,3,196
Ferry-RoPax,4,2,2001,2001,2002,1999,11273602,2704760,420,447,378,280,4,329
