int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Offshore,825,122,1996,1993,2001,1997,584746122,573507614,184,781,606,603,834,62626
Bulk carrier,1004,518,2005,2006,2007,2007,50637679797,90025813227,694,1648,1676,1703,4754,367967
Vehicle,22,17,2003,2005,2006,2006,648780907,220739702,367,618,571,570,42,3224
Oil tanker,1822,619,2002,2005,2007,2007,136670564004,259365546510,463,1165,1321,1334,11114,858869
General cargo,2797,461,1993,1995,2001,2001,12240258163,16870044187,509,919,1031,1044,2558,194710
Chemical tanker,538,242,2003,2005,2004,2004,10175910676,16392282600,501,1094,1093,1096,1987,152998
Service - tug,1417,280,2003,2003,2001,1999,358104062,352190327,149,431,343,359,425,31886
Ro-Ro,1565,90,2008,2006,2012,2012,1550884318,1547353674,138,377,858,682,1643,123807
Miscellaneous - fishing,18,12,1993,1992,2001,2001,123245465,98808581,894,4058,6735,7412,81,6118
Liquefied gas tanker,207,91,1999,2004,2001,2000,13786441277,14617738460,1054,2056,2154,2143,1776,131917
Container,789,134,2002,2004,2006,2006,35684844598,42168593200,382,1096,1249,1282,5384,416590
Service - other,174,48,1999,2001,1995,1993,229534002,199440836,258,848,550,555,222,16665
Ferry-RoPax,219,9,1991,1997,1989,1992,267834933,89507104,207,3552,279,354,279,21005
Refrigerated bulk,46,12,2003,1998,2000,2000,487096486,511816459,251,1883,865,941,321,24420
Ferry-pax only,31,4,1992,1987,1991,1991,25006349,2717999,667,7220,1422,1671,36,2692
Other liquids tankers,12,2,1952,1969,1950,1949,520384,1121101,82,82,92,92,12,922
Cruise,1,1,2009,2009,2009,2009,122287161,11891295,887,887,887,887,19,1484
