Int. Arr. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Container,443,178,27601,35041,2007,2007,2009,2009,190,1378,1514,1548,41,118,399,401,20,22,22,22,4085.9,316488,322564,27844474,75005422,84134361,62854,185601,214792
Ro-Ro,107,25,4789,2460,2012,2010,2012,2012,453,782,761,804,30,54,116,120,14,17,20,20,445.5,34502,35164,2645025,4905520,5690729,24720,58105,61725
Bulk carrier,94,88,11784,19983,2007,2008,2008,2008,4091,4811,4485,4435,406,455,648,647,218,281,282,283,1198.2,92705,94485,8320093,18310897,24362731,88512,318188,384087
Vehicle,89,42,12660,3818,2007,2008,2010,2009,4199,2864,2693,2455,270,179,290,287,15,18,17,17,873.7,67558,68855,3866113,17045412,19740324,43439,165113,177698
Chemical tanker,83,57,826,1317,2007,2007,2008,2008,268,611,595,594,99,155,208,206,59,75,72,72,290.1,22255,22682,481126,2333166,2727318,5797,32513,39619
General cargo,52,34,859,1227,2003,2004,2009,2009,549,1529,1670,1712,82,162,370,389,78,106,207,214,149.3,11457,11677,678222,2280243,3298657,13043,67101,90099
Refrigerated bulk,50,29,191,215,1989,1990,1987,1987,256,738,689,684,40,96,258,255,92,111,119,117,182.0,13749,14013,637025,1391931,1567879,12741,27150,29314
Liquefied gas tanker,40,15,521,611,2012,2012,2011,2011,293,1193,874,894,52,128,264,267,42,47,47,47,116.0,8880,9050,461567,1337235,1476736,11539,63177,83079
Oil tanker,31,22,200,327,2002,2002,2004,2003,247,480,320,318,76,164,176,176,72,207,164,165,169.7,13093,13345,364467,689034,781626,11757,34440,41093
Miscellaneous - fishing,10,5,13,15,1984,1982,1981,1981,529,1015,1321,1354,208,172,235,235,0,22,99,102,8.0,611,623,106321,235841,268127,10632,25022,29662
Service - tug,10,6,4,3,1995,1994,1989,1987,282,1471,1414,1467,54,1277,2804,2916,69,280,257,197,16.9,1270,1294,80629,190664,255288,8063,20820,28110
Service - other,6,5,20,29,2005,2004,2006,2007,644,979,770,734,206,244,292,272,32,96,95,78,9.2,694,707,205594,421833,454551,34266,76247,86093
Ferry-pax only,2,1,1,0,1969,1969,1969,1969,608,608,608,608,74,74,74,74,406,406,418,418,1.6,123,125,17405,35446,44651,8702,20237,26679
Cruise,1,1,2,0,1998,1998,1998,1998,80,80,80,80,6,6,6,6,8,8,8,8,1.1,86,88,565,4675,6234,565,3901,4637
