dom_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Chemical tanker,6,3,2009,2009,2008,2008,88949711,135926747,476,1755,1818,1914,38,2867
Container,3,1,1994,1994,1994,1994,9072614,12387805,89,89,98,98,4,308
Bulk carrier,1,1,2007,2007,2007,2007,7474025,12821870,239,239,239,239,1,46
