int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Chemical tanker,1085,307,2007,2008,2009,2009,20095897953,32522883260,538,1339,1158,1171,4920,377275
Liquefied gas tanker,182,37,2011,2010,2009,2009,4699317645,5491491046,408,1154,1379,1380,895,68671
Container,779,196,2003,2006,2008,2007,41481482062,47893003121,480,1286,1388,1328,4888,378067
Bulk carrier,193,171,2008,2008,2009,2009,13991394375,24204189517,1269,2492,2550,2557,1211,93699
Oil tanker,526,271,2004,2007,2010,2010,41633746770,75230627395,729,2367,2116,2140,6123,472614
General cargo,81,38,1996,2004,2002,2002,1398230017,1859535323,546,1634,1503,1443,228,17534
Miscellaneous - fishing,50,12,1977,1978,1979,1979,55478186,62144571,1347,2263,1540,1467,48,3615
Refrigerated bulk,78,36,1987,1990,1991,1991,534879142,600164941,608,1498,1369,1359,377,28534
Ro-Ro,93,28,2008,2008,2007,2007,2078049763,1099882075,144,391,430,435,239,18541
Vehicle,72,37,2005,2007,2006,2006,3809578582,1180402698,160,1145,983,875,266,20577
Service - other,16,11,2005,2005,2009,2008,51736611,56069756,558,1886,1715,1468,40,3036
Service - tug,24,13,1990,1991,1992,1996,17281366,13364733,822,2584,1521,1360,46,3421
Ferry-pax only,4,2,1980,1976,1974,1974,2030705,316757,527,820,806,782,5,340
Offshore,20,10,1999,1996,1996,1996,781273366,1460427285,692,1966,1314,1350,78,5917
Ferry-RoPax,1,1,2003,2003,2003,2003,122023,25382,119,119,119,119,0,17
Cruise,1,1,1998,1998,1998,1998,2417916,215622,80,80,80,80,1,86
