Int. Arr. by Partner,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
United States of America,363,60,12755,2260,1999,2004,2005,2004,710,873,770,875,56,64,54,97,7,9,8,10,2733.9,210028,214061,4485120,24397009,27710103,12356,59345,70515
Jamaica,264,41,5905,700,2003,2002,2010,2006,265,278,260,276,16,27,16,21,7,14,8,10,1176.6,91125,92874,636910,7114570,9264841,2413,24615,30988
Mexico,113,31,4144,415,2001,2002,2008,2003,355,587,402,441,20,50,38,49,7,13,7,11,827.1,63940,65168,402434,4650504,6119919,3561,37911,48583
Cuba,31,15,535,243,1989,1993,1997,1999,453,631,541,711,38,72,73,157,7,14,11,19,110.6,8556,8721,317878,1380914,1749267,10254,41504,49779
Honduras,27,12,816,81,2003,2003,2004,2003,355,532,360,380,20,37,24,33,7,8,8,8,201.0,15553,15852,297408,1399902,1551847,11015,46457,49031
Costa Rica,20,8,1159,101,2003,2000,2004,2003,616,641,639,636,38,42,41,41,8,9,8,8,238.1,18440,18794,276988,1595564,1819243,13849,71171,77449
Bahamas,20,14,950,531,2007,2006,2010,2013,913,933,925,1025,72,89,73,110,22,22,17,36,160.3,12407,12645,299612,1802461,2043793,14981,88782,102509
Colombia,14,11,633,70,2001,2001,2006,2004,694,758,766,752,40,57,52,58,8,24,9,20,130.7,10115,10309,218548,1068312,1237870,15611,69826,78170
Belize,13,4,574,64,2009,2010,2009,2009,536,579,595,593,38,40,45,46,9,8,9,8,123.3,9548,9731,320498,1304508,1352704,24654,88646,85827
Dominican Republic,9,9,175,269,2008,2008,2009,2009,734,790,818,813,60,69,77,73,23,22,26,27,24.7,1908,1945,108380,461217,501287,12042,63991,81790
Aruba,5,2,253,135,1998,2000,1999,2002,767,932,829,1034,43,167,105,255,6,6,6,7,65.8,5094,5192,180886,548462,545249,36177,104519,104435
Antigua and Barbuda,3,3,81,134,2008,2008,2009,2009,1298,1283,1249,1248,126,119,117,117,18,21,22,22,14.1,1090,1111,81944,261018,299343,27315,105072,124908
Virgin Islands (U.S.),2,2,344,35,2008,2008,2012,2010,1802,1802,2525,1757,110,110,139,122,21,21,6,15,71.1,5473,5578,-915,304292,437354,-457,138318,194075
Panama,2,1,26,26,2011,2011,2011,2011,787,787,787,787,62,62,62,62,32,32,34,34,4.7,365,372,19815,57406,63394,9907,54242,71329
Haiti,1,1,14,20,1999,1999,1999,1999,542,542,542,542,63,63,63,63,1,1,1,1,2.7,211,215,3880,28411,32758,3880,33502,41184
Japan,1,1,202,328,2000,2000,2000,2000,8721,8721,8721,8721,609,609,609,609,44,44,44,44,38.2,2962,3019,63289,463484,534388,63289,546531,671848
Saint Vincent and the Grenadines,1,1,10,16,2007,2007,2007,2007,1357,1357,1357,1357,111,111,111,111,3,3,3,3,2.7,205,209,18921,53768,63689,18921,59309,69528
Guatemala,1,1,2,1,2000,2000,2000,2000,543,543,543,543,61,61,61,61,5,5,5,5,0.4,30,30,2181,12317,26782,2181,12599,24350
Brazil,1,1,6,4,1977,1977,1977,1977,7603,7603,7603,7603,1304,1304,1304,1304,25,25,25,25,10.2,763,778,30879,63356,68270,30879,68710,77584
Ecuador,1,1,77,8,2000,2000,2000,2000,1253,1253,1253,1253,109,109,109,109,7,7,7,7,25.2,1951,1988,48097,167685,161383,48097,149169,134523
Venezuela (Bolivarian Republic of),1,1,52,97,2011,2011,2011,2011,839,839,839,839,69,69,69,69,28,28,28,28,4.4,342,349,50310,105948,116670,50310,123568,154446
