Int. Dep. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Cruise,530,78,27457,2370,2005,2003,2007,2007,348,518,494,483,20,32,43,41,8,12,14,14,5687.4,439173,447605,4100082,34933589,42844160,7736,58233,68406
General cargo,168,13,311,418,1997,1999,1999,1998,660,681,616,629,54,84,69,70,22,20,33,34,121.3,9132,9307,1230403,3537222,5078798,7324,24126,34546
Ro-Ro,87,4,169,193,1986,1980,1988,1987,346,640,385,404,32,73,41,43,34,27,36,35,90.0,6870,7002,390800,2251945,1228552,4492,10828,14160
Container,30,5,104,138,1997,1997,1998,1998,710,889,799,803,60,80,92,93,18,180,56,56,36.8,2809,2863,253287,694228,785649,8443,23831,27344
Chemical tanker,28,22,967,1623,2010,2010,2011,2011,1017,1336,1459,1476,112,158,274,277,33,39,35,35,134.2,10314,10512,385515,2439062,2821651,13768,102053,124988
Bulk carrier,21,4,141,255,1972,1979,1996,1997,839,1268,1864,1963,130,296,739,757,45,48,58,58,30.0,2281,2325,132209,328818,388188,6296,22194,27456
Liquefied gas tanker,12,8,174,196,2006,2006,2011,2011,670,801,865,869,84,94,121,121,30,66,85,84,34.2,2620,2670,91710,380042,368526,7643,49278,69302
Oil tanker,9,8,385,681,2004,2004,2004,2004,1044,1014,1155,1158,126,168,317,320,60,61,67,68,49.0,3778,3851,420868,897674,992336,46763,125393,154113
Service - other,2,2,6,3,1984,1984,1990,1989,960,960,856,875,86,86,66,71,132,132,43,64,4.4,327,333,19353,39707,42787,9676,21531,24312
Service - tug,1,1,2,2,2009,2009,2009,2009,1207,1207,1207,1207,293,293,293,293,92,92,92,92,0.6,44,45,45536,107680,144177,45536,117583,158757
